original_english	augmented_spanglish	original_spanish
Efforts have been made to develop S protein-based vaccines to generate long-term and potent neutralizing antibodies and/or protective immunity against SARS-CoV.	Efforts have been made to develop S protein-based vaccines to generate long-term and potent neutralizing antibodies and/or protective immunity against SARS-CoV.	Se han hecho esfuerzos para desarrollar vacunas basadas en proteína S para generar anticuerpos neutralizantes potentes y de larga duración o inmunidad que proteja contra el SARS-CoV.
Live-attenuated vaccines have been evaluated in animal models for SARS.	Live-attenuated vaccines have been evaluated in animal models for SARS.	Se han evaluado vacunas con virus vivos atenuados en modelos animales para el SARS.
However, the in vivo efficacy of these vaccine candidates in elderly individuals and lethal-challenge models and their protection against zoonotic virus infection have yet to be determined before a clinical study is initiated.	However, las in vivo eficacia of estas vacunas candidatos in anciana individuos y lethal-challenge maquetas y sus proteccion contra zoonotic virus infección tener aún to be determinado antes a clínica estudia is initiated.	Sin embargo, la eficacia in vivo de estas posibles vacunas en las personas de mayor edad y los modelos de estimulación letal y su protección contra la infección por virus de origen zoonótico aún deben determinarse antes de que se inicie un estudio clínico.
This is probably because SARS died down 17 years ago and no new case has been reported since.	This is probably because SARS died down 17 years ago and no new case has been reported since.	Esto probablemente se deba a que el SARS se extinguió hace 17 años y no se ha registrado ningún caso nuevo desde entonces.
In contrast, sporadic cases and clusters of MERS continue to occur in the Middle East and spread to other regions owing to the persistence of zoonotic sources in endemic areas.	In contrast, esporádica estuches y racimos of mers continuar to occur in las middle este y difundir to otros regiones owing to los persistencia of zoonotic fuentes in endémica areas.	En cambio, sigue habiendo casos y conglomerados de MERS esporádicamente en Oriente Medio que se propagan a otras regiones debido a la persistencia de fuentes zoonóticas en áreas endémicas.
Vaccination strategies have been developed for MERS by using inactivated virus, DNA plasmids, viral vectors, nanoparticles, virus-like particles and recombinant protein subunits and some have been evaluated in animal models.	Vaccination strategies have been developed for MERS by using inactivated virus, DNA plasmids, viral vectors, nanoparticles, virus-like particles and recombinant protein subunits and some have been evaluated in animal models.	Se han desarrollado estrategias de vacunación para el MERS usando virus desactivados, plásmidos de ADN, vectores virales, nanopartículas, partículas similares a virus y subunidades de proteínas recombinantes, y algunas se han evaluado en modelos animales.
The development of a safe and effective vaccine against SARS-CoV-2 for non-immune individuals is an urgent and critical task for controlling the ongoing epidemic.	los desarrollo of a segura y efectiva vacuna against SARS-CoV-2 para non-immune individuos is an urge y crítico tarea para controlar los ongoing epidemic.	El desarrollo de una vacuna segura y eficaz contra el SARS-CoV-2 para personas no inmunes es una tarea urgente y decisiva para controlar la pandemia en curso.
However, it is challenging to overcome the difficulty because of the long period of time (averaged 18 months) needed for vaccine development and the dynamic variations of CoVs.	However, it is desafiante to superar las dificultad porque of las long periodo of tiempo (averaged 18 months) necesitado para vacuna desarrollo y las dinámico variaciones of CoVs.	Sin embargo, resulta difícil superar las dificultades debido al largo período (18 meses en promedio) necesario para el desarrollo de una vacuna y a las variaciones dinámicas de los coronavirus.
As a novel disease, COVID-19 has just started to manifest its full clinical course throughout thousands of patients.	As a novel disease, COVID-19 has just started to manifest its full clinical course throughout thousands of patients.	Como es una enfermedad nueva, la COVID-19 recién ha comenzado a manifestar su curso clínico completo en miles de pacientes.
In most cases, patients can recover gradually without sequelae.	In most cases, pacientes can recupera progresivamente sin sequelae.	En la mayoría de los casos, los pacientes pueden recuperarse gradualmente sin secuelas.
However, similar to SARS and MERS, COVID-19 is also associated with high morbidity and mortality in patients with severe cases.	However, similar to SARS and MERS, COVID-19 is also associated with high morbidity and mortality in patients with severe cases.	No obstante, como sucede con el SARS y el MERS, la COVID-19 también se asocia a una alta morbilidad y mortalidad en pacientes con casos graves.
Therefore, building a prognosis model for the disease is essential for health-care agencies to prioritize their services, especially in resource-constrained areas.	Therefore, construyendo a pronóstico maqueta para los enfermedad is esenciales para health-care organismos to priorizar sus services, especialmente in resource-constrained areas.	Por lo tanto, crear un modelo de pronóstico para la enfermedad resulta esencial para que las agencias sanitarias puedan priorizar sus servicios, especialmente en áreas con recursos limitados.
Based on clinical studies reported thus far, the following factors may affect or be associated with the prognosis of COVID-19 patients (Table ​(Table33):	Based on clinical studies reported thus far, the following factors may affect or be associated with the prognosis of COVID-19 patients (Table ​(Table33):	Sobre la base de los estudios clínicos informados hasta el momento, los siguientes factores pueden afectar o estar asociados con el pronóstico de los pacientes con COVID-19 (tabla (tabla 33):
Age: Age was the most important factor for the prognosis of SARS, which is also true for COVID-19.	Age: age era el most importante factor para la pronóstico of SARS, cuáles is igualmente verdadera para COVID-19.	Edad: la edad era el factor más importante para el pronóstico del SARS, lo cual también resulta acertado para la COVID-19.
COVID-19 mainly happened at the age of 30-65 with 47.7% of those patients being over 50 in a study of 8,866 cases as described above.	COVID-19 principalmente pasó at el age of 30-65 con 47.7% of aquellos pacientes estar over 50 in a estudiar of 8,866 estuches as descrita above.	La COVID-19 se produjo mayormente en personas de 30 a 65 años y el 47,7 % de esos pacientes tenían más de 50 años en un estudio de 8866 casos, como se describió anteriormente.
Patients who required intensive care were more likely to have underlying comorbidities and complications and were significantly older than those who did not (at the median age of 66 versus 51), suggesting age as a prognostic factor for the outcome of COVID-19 patients.	pacientes oms requerida intensiva cuidado fueron más probablemente to han subyacente comorbidities y complicación y eran significativamente mayores than aquellos oms hizo no (at la mediana edad of 66 versus 51), sugerir age as a prognostic factor para la resultado of COVID-19 patients.	Los pacientes que requerían cuidados intensivos con mayor probabilidad tenían comorbilidades y complicaciones subyacentes y eran considerablemente mayores que quienes no los requerían (con media de edad de 66 frente a 51), lo que sugiere que la edad es un factor de pronóstico de la evolución de pacientes con COVID-19.
Sex: SARS-CoV-2 has infected more men than women (0.31/100,000 versus 0.27/100,000), as described above.	Sex: SARS-CoV-2 has infected more men than women (0.31/100,000 versus 0.27/100,000), as described above.	Sexo: el SARS-CoV-2 ha infectado a más hombres que mujeres (0,31/100 000 frente a 0,27/100 000), como se describió anteriormente.
Comorbidities and complications: Patients with COVID-19 who require intensive care are more likely to suffer from acute cardiac injury and arrhythmia.	Comorbidities and complications: Patients with COVID-19 who require intensive care are more likely to suffer from acute cardiac injury and arrhythmia.	Comorbilidades y complicaciones: los pacientes con COVID-19 que requieren cuidados intensivos con mayor probabilidad sufren de una lesión cardíaca aguda y arritmia.
Cardiac events were also the main reason for death in SARS patients.	cardíaco acontecimientos fueron igualmente las principal razon para muerte in sars patients.	Los eventos cardíacos también fueron la principal causa de muerte en pacientes con SARS.
It has been reported that SARS-CoV-2 can also bind to ACE2-positive cholangiocytes, which might lead to liver dysfunctions in COVID-19 patients.	It tiene sido informado que SARS-CoV-2 can igualmente obligar to ACE2-positive cholangiocytes, cual might plomo to hígados disfunciones in COVID-19 patients.	Se ha informado que el SARS-CoV-2 también puede unirse a los colangiocitos ACE2 positivos, lo que puede ocasionar disfunciones hepáticas en pacientes con COVID-19.
It is worth noting that age and underlying disease are strongly correlated and might interfere with each other.	It is worth noting eso edad y subyacente enfermedad are firmemente correlacionado y might interferir con cada other.	Cabe destacar que la edad y las enfermedades subyacentes están fuertemente correlacionadas y pueden interferirse entre sí.
Abnormal laboratory findings: The C-reactive protein (CRP) level in blood reflects the severity of inflammation or tissue injury and has been proposed to be a potential prognostic factor for disease, response to therapy, and ultimate recovery.	Abnormal laboratory findings: The C-reactive protein (CRP) level in blood reflects the severity of inflammation or tissue injury and has been proposed to be a potential prognostic factor for disease, response to therapy, and ultimate recovery.	Resultados de laboratorio anormales: el nivel de proteína C reactiva (PCR) en la sangre refleja la gravedad de la inflamación o la lesión del tejido y ha sido propuesta como un posible factor de pronóstico para la enfermedad, la respuesta a la terapia y la recuperación final.
The correlation of CRP level to the severity and prognosis of COVID-19 has also been proposed.	el correlación of crp nivel to las severidad y pronóstico of COVID-19 ha tambien sido proposed.	Se ha propuesto, además, la correlación entre el nivel de PCR y la gravedad y el pronóstico de la COVID-19.
In addition, elevated lactate dehydrogenase (LDH), aspartate aminotransferase (AST), alanine aminotransferase (ALT), and creatine kinase (CK) may also help predict the outcome.	In addition, elevadas lactato deshidrogenasa (LDH), aspartato aminotransferasa (AST), alanina aminotransferasa (ALT), y creatina quinasa (CK) mayo además ayuda predice el outcome.	Además, un nivel elevado de lactato deshidrogenasa (LDH), aspartato aminotransferasa (AST), alanina aminotransferasa (ALT) y creatina cinasa (CK) también puede ayudar a predecir la evolución del paciente.
These enzymes are expressed extensively in multiple organs, especially in the heart and liver, and are released during tissue damage.	éstos enzimas están expresó ampliamente in multiples organs, especialmente in las corazon y liver, y are lanzado durante tejido damage.	Estas enzimas se expresan intensamente en varios órganos, en especial, el corazón y el hígado, y se liberan cuando se daña el tejido.
Thus, they are traditional markers for heart or liver dysfunctions.	Thus, ellas están tradicional marcadores para heart or hígado dysfunctions.	Por ende, constituyen marcadores tradicionales de disfunciones cardíacas o hepáticas.
Major clinical symptoms: Chest radiography and temporal progression of clinical symptoms should be considered together with the other issues for the prediction of outcomes and complications of COVID-19.	mayor clínica symptoms: tórax radiografía y temporal progresión of clínica síntomas deberían be considerada juntas con los otro cuestiones para el predicción of outcomes y complicación of COVID-19.	Principales síntomas clínicos: la radiografía de tórax y la progresión temporal de los síntomas clínicos deberían considerarse en conjunto con los demás síntomas para la predicción de desenlaces clínicos y complicaciones de la COVID-19.
Use of steroids: As described above, steroids are immunosuppressant commonly used as an adjunctive therapy for infectious diseases to reduce the severity of inflammatory damage.	uso of steroids: As descrita above, esteroides están immunosuppressant comúnmente usados as an adjunctive terapia para infecciosa enfermedades to reduce el severidad of inflamatoria damage.	Uso de esteroides: como se describió anteriormente, los esteroides son inmunosupresores que se utilizan comúnmente como terapia adyuvante para enfermedades infecciosas a fin de reducir la gravedad del daño inflamatorio.
Since a high dosage of corticosteroids was widely used in severe SARS patients, many survivors suffered from avascular osteonecrosis with life-long disability and poor life quality.	desde a high posología of corticosteroides fue ampliamente utilizada in severas sars patients, muchas sobrevivientes sufrieron desde avascular osteonecrosis con life-long discapacidades y pobrecito life quality.	Dado que era extendido el uso de dosis altas de corticosteroides en pacientes con SARS graves, muchos sobrevivientes desarrollaron osteonecrosis avascular con incapacidad permanente y mala calidad de vida.
Thus, if needed, steroids should be used at low dosage and for a short time in COVID-19 patients.	Thus, if needed, esteroides debería be usado at baja dosificación y para a cortos time in COVID-19 patients.	Por lo tanto, de ser necesarios, los esteroides deben usarse en dosis bajas y durante un breve período en los pacientes con COVID-19.
Mental stress: As described above, during the COVID-19 outbreak many patients have suffered from extraordinary stress as they often endured long periods of quarantine and extreme uncertainty and witnessed the death of close family members and fellow patients.	Mental stress: As described above, during the COVID-19 outbreak many patients have suffered from extraordinary stress as they often endured long periods of quarantine and extreme uncertainty and witnessed the death of close family members and fellow patients.	Estrés mental: como se describió anteriormente, durante el brote de COVID-19, muchos pacientes han sufrido un estrés extraordinario, ya que en general, soportaron largos períodos en cuarentena e incertidumbre extrema, y asistieron a la muerte de familiares cercanos y otros pacientes.
It is imperative to provide psychological counseling and long-term support to help these patients recover from the stress and return to normal life.	It is imperativo to proporcione psicológica consejería y long-term apoyo to ayuda estas pacientes recupera from la stress y devolución to normal life.	Resulta indispensable brindar psicoterapia y apoyo a largo plazo a estos pacientes para ayudarlos a recuperarse del estrés y volver a su vida normal.
According to demographic studies so far, COVID-19 seems to have different epidemiological features from SARS.	segun to demográficos estudios so far, COVID-19 parece to tienen diferentes epidemiológicos caracteristicas desde SARS.	De acuerdo con los estudios demográficos realizados hasta el momento, la COVID-19 parece tener características epidemiológicas diferentes de las del SARS.
In addition to replicating in the lower respiratory tract, SARS-CoV-2 can efficiently replicate in the upper respiratory tract and causes mild or no symptoms in the early phase of infection, similar to other CoVs that cause common colds.	In addition to replicating in the lower respiratory tract, SARS-CoV-2 can efficiently replicate in the upper respiratory tract and causes mild or no symptoms in the early phase of infection, similar to other CoVs that cause common colds.	Además de replicarse en las vías respiratorias inferiores, el SARS-CoV-2 puede replicarse eficientemente en las vías respiratorias superiores y causa síntomas leves o no causa síntomas en la fase temprana de la infección, como sucede con otros coronavirus que causan resfriados comunes.
Therefore, infected patients at the early phase or incubation period can produce a large amount of virus during daily activities, causing great difficulty for the control of the epidemic.	Therefore, infectados pacientes at los temprano etapa or incubación periodo can producen a grande importe of virus durante diarios activities, provocando genial dificultad para la control of la epidemic.	Por lo tanto, los pacientes infectados en fase temprana o en período de incubación pueden producir una gran cantidad de virus durante sus actividades diarias, lo que dificulta enormemente el control de la epidemia.
However, the transmission of SARS-CoV was considered to occur when the patients are severely ill, while most transmission did not happen at the early phase.	However, the transmission of SARS-CoV was considered to occur when the patients are severely ill, while most transmission did not happen at the early phase.	Sin embargo, se consideraba que la transmisión del SARS-CoV ocurría cuando los pacientes estaban gravemente enfermos, mientras que la transmisión mayormente no ocurría en la fase temprana.
Thus, the current outbreak of COVID-19 is much more severe and difficult to control than the outbreak of SARS.	Thus, los actual brote of COVID-19 is mucho more severa y dificil to controlar than los brote of SARS.	Por ende, el brote actual de COVID-19 es mucho más grave y difícil de controlar que el brote del SARS.
Great efforts are currently underway in China including the lockdown of Wuhan and surrounding cities and continuous quarantine of almost the entire population in hopes of interrupting the transmission of SARS-CoV-2.	Great efforts are currently underway in China including the lockdown of Wuhan and surrounding cities and continuous quarantine of almost the entire population in hopes of interrupting the transmission of SARS-CoV-2.	Se están haciendo grandes esfuerzos en este momento en China, que incluyen el cierre de Wuhan y ciudades de los alrededores y la cuarentena continua de casi toda la población con la esperanza de interrumpir la transmisión del SARS-CoV-2.
Although these actions have been dramatically damaging the economy and other sectors of the country, the number of new patients is declining, indicating the slowdown of the epidemic.	aunque estos acciones tienen sido dramáticamente perjudicial las económica y otros sectores of los country, los numero of nuevas pacientes is declining, indicando el desaceleración of la epidemic.	Aunque estas medidas vienen generando un daño notable en la economía y otros sectores del país, la cantidad de pacientes nuevos está disminuyendo, lo que indica la desaceleración de la epidemia.
The most optimistic estimate is that the outbreak will end by March and the downswing phase will last for 3-4 months.	los most optimista estimación is que los brote testamento final by marcha y la downswing etapa testamento último para 3-4 months.	Según la previsión más optimista, el brote habrá concluido para marzo y la fase descendente durará 3 o 4 meses.
However, some other experts are not that optimistic.	However, some other experts are not that optimistic.	Sin embargo, algunos otros expertos no son tan optimistas.
Paul Hunter, et al., estimated that COVID-19, which seems substantially more infectious than SARS, will not end in 2020.	Paul Hunter, et al., estimated that COVID-19, which seems substantially more infectious than SARS, will not end in 2020.	Paul Hunter, et al., estimó que la COVID-19, que parece ser considerablemente más infecciosa que el SARS, no concluirá en 2020.
Ira Longini, et al., established a model to predict the outcome of the epidemic and suggested that SARS-CoV-2 could infect two-thirds of the global population.	Ira Longini, et al., established a model to predict the outcome of the epidemic and suggested that SARS-CoV-2 could infect two-thirds of the global population.	Ira Longini, et al., creó un modelo para predecir la evolución de la epidemia y sugirió que el SARS-CoV-2 podría infectar a dos tercios de la población mundial.
A Canadian group reported that SARS-CoV-2 was detected in both mid-turbinate and throat swabs of patients who recovered and left the hospital 2 weeks earlier, which indicates that the newly identified virus could become a cyclical episode similar to influenza.	A canadiense group informado que SARS-CoV-2 fue detectados in tanto mid-turbinate y garganta swabs of pacientes quiénes recuperado y izquierdo las hospital 2 semanas earlier, cuál indica que la recién identificadas virus podría convertirse a cíclica episodio parecidos to influenza.	Un grupo canadiense informó que el SARS-CoV-2 se detectó en exudados tanto nasales como faríngeos en pacientes que se habían recuperado y habían dejado el hospital 2 semanas antes, lo que indica que el virus recientemente identificado podría convertirse en un episodio cíclico similar a la influenza.
However, promising signs have occurred in China based on the declining number of new cases, indicating the current strategies might have been working.	However, promising signs have occurred in China based on the declining number of new cases, indicating the current strategies might have been working.	Sin embargo, se han visto señales prometedoras en China dada la disminución en la cantidad de casos nuevos, lo que indica que las estrategias actuales podrían estar funcionando.
Ebola was originally predicted to cause up to a million cases with half a million deaths.	ébola fue originalmente predijo to cause up to a millon casos con medio a millon deaths.	Originalmente se predijo que el ébola causaría hasta un millón de casos con medio millón de muertes.
However, via strict quarantine and isolation, the disease has eventually been put under control.	However, via rigurosa cuarentena y isolation, las enfermedad tiene eventualmente sido pon debajo control.	Sin embargo, mediante una cuarentena y un aislamiento estrictos, se ha logrado controlar la enfermedad.
It is possible, similar to SARS-CoV, that SARS-CoV-2 might become weaker in infectivity and eventually die down or become a less pathogenic virus co-existent with humans.	It is possible, similares to SARS-CoV, eso SARS-CoV-2 might convertirse weaker in infectivity y eventualmente muera abajo or convertirse a menos patógenos virus co-existent con humans.	Es posible que, al igual que el SARS-CoV, el SARS-CoV-2 se debilite en términos de infecciosidad y finalmente se extinga o se convierta en un virus menos patógeno que coexista con los humanos.
A comparison of the epidemic of COVID-19 with that of SARS and MERS is provided below (Fig. ​(Fig.55).	A comparaciones of el epidemias of COVID-19 con eso of sars y mers is proporcionados debajo (Fig. ​(Fig.55).	Una comparación de la epidemia de COVID-19 con la del SARS y el MERS se brinda a continuación (fig. (fig. 55).
SARS-CoV-2 is highly transmittable through coughing or sneezing, and possibly also through direct contact with materials contaminated by the virus.	SARS-CoV-2 is altamente transmittable through toser or sneezing, y posiblemente además through directamente contactar con materiales contaminadas by los virus.	El SARS-CoV-2 es altamente transmisible a través de la tos o los estornudos, y posiblemente también a través del contacto directo con materiales contaminados con el virus.
The virus was also found in feces, which raises a new possibility of feces-to-mouth transmission.	las virus fue también encontrada in feces, cual aumentos a novedad posibilidad of feces-to-mouth transmission.	También se detectó el virus en las heces, lo que plantea una nueva posibilidad de transmisión fecal-oral.
A recent study on 138 cases reported that 41% of the cases were possibly caused by nosocomial infections, including 17 patients with other prior diseases and 40 health-care providers.	A reciente estudio on 138 casos reportado que 41% of el casos eran posiblemente causado by nosocomial infections, incluidos 17 pacientes con otros prior enfermedades y 40 health-care providers.	Un estudio reciente de 138 casos informó que el 41 % de los casos posiblemente habían sido causados por infecciones en nosocomios, lo que incluye 17 pacientes con otras enfermedades previas y 40 proveedores de atención médica.
Thus, great precaution should be used to protect humans, especially health-care providers, social workers, family members, colleagues, and even bystanders in contact with patients or infected people.	Thus, estupendo precaución deberia be utilizado to protege humans, especialmente health-care providers, sociales workers, familiares members, colleagues, y hasta transeúntes in contactar con pacientes or infectados people.	Por lo tanto, deben tomarse precauciones para proteger a los humanos, especialmente a los proveedores de atención médica, trabajadores sociales, familiares, colegas e, incluso, transeúntes en contacto con pacientes o personas infectadas.
The first line of defense that could be used to lower the risk of infection is through wearing face masks; both the use of surgical masks and N95 respirator masks (series # 1860s) helps control the spread of viruses.	las primero line of defensas eso podía be usada to inferior los riesgos of infección is through vistiendo rostro masks; tanto las utilización of cirugía máscaras y N95 respirador máscaras (series # 1860s) helps control las propagación of viruses.	La primera línea de defensa que podría usarse para disminuir el riesgo de infección es el uso de mascarillas; el uso de mascarillas quirúrgicas y mascarillas con respirador N95 (número de serie 1860) ayuda a controlar la propagación de los virus.
Surgical face masks prevent liquid droplets from a potentially infected individual from traveling through the air or sticking onto surfaces of materials, where they could be passed on to others.	Surgical face masks prevent liquid droplets from a potentially infected individual from traveling through the air or sticking onto surfaces of materials, where they could be passed on to others.	Las mascarillas quirúrgicas impiden que las gotículas de líquido de una persona potencialmente infectada se transmitan por el aire o se adhieran a las superficies, desde donde podrían transmitirse a otras personas.
However, only N95 (series # 1860s) masks can protect against the inhalation of virions as small as 10 to 80 nm, with only 5% of the virions being able to penetrate completely; SARS-CoV-2 is similar to SARS-CoV in size and both are approximately 85 nm.	However, sólo N95 (series # 1860s) máscaras puede proteger against las inhalación of viriones as pequeña as 10 to 80 nm, con solo 5% of el viriones ser capaz to penetrar completely; SARS-CoV-2 is similar to SARS-CoV in tamaño y ambas are aproximadamente 85 nm.	Sin embargo, solo las mascarillas N95 (número de serie 1860) pueden proteger contra la inhalación de viriones tan pequeños como 10 a 80 nm, y solo el 5 % de los viriones pueden penetrarlas completamente; el SARS-CoV-2 es similar al SARS-CoV en tamaño y ambos miden alrededor de 85 nm.
Since particles can penetrate even five surgical masks stacked together, health-care providers in direct contact with patients must wear N95 (series # 1860s) masks but not surgical masks.	Since particles can penetrate even five surgical masks stacked together, health-care providers in direct contact with patients must wear N95 (series # 1860s) masks but not surgical masks.	Dado que las partículas pueden penetrar hasta cinco mascarillas quirúrgicas apiladas, los proveedores de atención médica en contacto directo con los pacientes deben usar las mascarillas N95 (número de serie 1860) y no las mascarillas quirúrgicas.
In addition to masks, health-care providers should wear fitted isolation gowns in order to further reduce contact with viruses.	In adición to masks, health-care providers deberían desgaste fitted aislamiento batas in pedido to further reduce contacta con viruses.	Además de las mascarillas, los proveedores de atención médica deben usar batas de aislamiento a la medida a fin de reducir aún más el contacto con los virus.
Viruses can also infect an individual through the eyes.	Viruses can also infect an individual through the eyes.	Los virus también pueden infectar a una persona a través de los ojos.
On January 22, 2020, a doctor was infected with SARS-CoV-2 although he wore an N95 mask; the virus might have entered his body through his inflammatory eyes.	On enero 22, 2020, a doctora fue infectado con SARS-CoV-2 aunque he llevaba an N95 mask; el virus might tienen entró sus cuerpo through sus inflamatoria eyes.	El 22 de enero de 2020, un médico se infectó con SARS-CoV-2 a pesar de haber usado una mascarilla N95; es posible que el virus haya ingresado a su cuerpo a través de sus ojos inflamados.
Thus, health-care providers should also wear transparent face shields or goggles while working with patients.	Thus, health-care providers deberían tambien desgaste transparentes carita escudos or gafas mientras trabajar con patients.	Por lo tanto, los proveedores de atención médica también deben usar caretas protectoras o gafas transparentes mientras trabajan con los pacientes.
For the general public in affected or potentially affected areas, it is highly suggested that everybody wash their hands with disinfectant soaps more often than usual, try to stay indoors for self-quarantine and limit contact with potentially infected individuals.	For the general public in affected or potentially affected areas, it is highly suggested that everybody wash their hands with disinfectant soaps more often than usual, try to stay indoors for self-quarantine and limit contact with potentially infected individuals.	Para el público en general de áreas afectadas o potencialmente afectadas, se sugiere encarecidamente que la población se lave las manos con jabones desinfectantes más seguido de lo habitual, intente quedarse en casa en cuarentena voluntaria y limite el contacto con personas que puedan estar infectadas.
Three feet is considered an appropriate distance for people to stay away from a patient.	tres pies is considerados an adecuado distancias para personas to estadía away de a patient.	Se considera que tres pies es una distancia adecuada para que las personas se mantengan alejadas de un paciente.
These actions are effective methods to lower the risk of infection as well as prevent the spread of the virus.	These actions are effective methods to lower the risk of infection as well as prevent the spread of the virus.	Estas medidas son métodos eficaces para reducir el riesgo de infección y evitar la propagación del virus.
Although SARS-CoV-2 came as a new virus to the human world, its high homology to SARS-CoV as reported on 7 January 2020 should have caused high alert to China based on her deep memory of the SARS outbreak in 2003.	Although SARS-CoV-2 came as a new virus to the human world, its high homology to SARS-CoV as reported on 7 January 2020 should have caused high alert to China based on her deep memory of the SARS outbreak in 2003.	Aunque el SARS-CoV-2 apareció como un virus nuevo para el mundo humano, su alta homología con el SARS-CoV, según se informó el 7 de enero de 2020, debería haber causado gran alerta en China por su experiencia con el brote de SARS en 2003.
However, not until 19 January 2020 did the director of the Center of Disease Control of Wuhan comfort the citizens by saying that the novel virus has low contagiousness and limited reproductivity from human to human and that it is not a problem to prevent and contain the disease.	However, not until 19 January 2020 did the director of the Center of Disease Control of Wuhan comfort the citizens by saying that the novel virus has low contagiousness and limited reproductivity from human to human and that it is not a problem to prevent and contain the disease.	Sin embargo, no fue sino hasta el 19 de enero de 2020 que el director del Centro para el Control de Enfermedades de Wuhan tranquilizó a los ciudadanos diciendo que el nuevo virus tenía una baja contagiosidad y una capacidad de reproducción limitada entre humanos, y que no habría problemas para prevenir y contener la enfermedad.
This message remarkably relaxed the alarm of the public, especially when the entire country was preparing for the Spring Festival, and the critical time was missed to contain the disease at its minimal scale in Wuhan.	esto mensaje notablemente relajados la alarmas of los public, especialmente cuando las enteras pais estaba preparándose para los primavera Festival, y los critica hora era perdido to contienen los enfermedad at su mínimo balanza in Wuhan.	Este mensaje relajó notablemente la alarma del público, especialmente en un momento en que todo el país se preparaba para la Fiesta de la Primavera, y se desaprovechó el momento crítico para contener la enfermedad a escala mínima en Wuhan.
The disease control agencies in China may take this hard lesson and make critical improvements in the future.	The disease control agencies in China may take this hard lesson and make critical improvements in the future.	Las agencias para el control de enfermedades de China deberían aprender de esta dura lección y adoptar mejoras decisivas en el futuro.
For example, these agencies should be (1) more careful when making public announcements as every word counts to citizens and can change their attitude and decisions; (2) more sensitive and reactive to unusual information from clinics rather than waiting for formal reports from doctors or officials; (3) more restrictive to contain a potential epidemic at its early stage rather than attempting to comfort the public; and (4) more often to issue targeted and effective drills to increase the public's awareness about epidemic diseases and to test and improve the response system of the society periodically.	para ejemplo, estos agencias debiera be (1) más cuidadoso when haciendo públicas anuncios as cada palabra cuenta to ciudadanos y pueden variación sus actitud y decisions; (2) más sensible y reactivo to inusuales información from clínicas rather than esperándote para formales reportes de médicos or officials; (3) more restrictivas to contener a potenciales epidemia at sus early escenario rather than intentando to consuelo las public; y (4) mas frecuentemente to cuestión targeted y efectiva ejercicios to aumentar los public's consciencia acerca epidemia enfermedades y to test y mejorar los repuesta sistema of el society periodically.	Por ejemplo, estas agencias deberían ser (1) más cautelosas al hacer anuncios públicos, ya que cada palabra importa para los ciudadanos y puede hacer que cambien su actitud o sus decisiones; (2) más sensibles y reactivas a información inusual de las clínicas, en lugar de esperar los informe formales de médicos o funcionarios; (3) más restrictivas para contener una posible epidemia en su fase temprana, en lugar de intentar tranquilizar al público; y (4) más regulares en la implementación de simulacros adaptados y eficaces para aumentar la concienciación del público acerca de las enfermedades epidémicas y poner a prueba y mejorar el sistema de respuesta de la sociedad periódicamente.
The outbreak of COVID-19 caused by the novel virus SARS-CoV-2 started in the end of December 2019.	los brote of COVID-19 causó by los novela virus SARS-CoV-2 comenzó in las end of diciembre 2019.	El brote de COVID-19 causado por el nuevo virus SARS-CoV-2 comenzó a fines de diciembre de 2019.
In less than two months, it has spread all over China and near 50 other countries globally at the time of this writing.	In less than two months, it has spread all over China and near 50 other countries globally at the time of this writing.	En menos de dos meses, se ha propagado por toda China y unos 50 países más de todo el mundo al momento de este análisis.
Since the virus is very similar to SARS-CoV and the symptoms are also similar between COVID-19 and SARS, the outbreak of COVID-19 has created a sense of SARS recurring.	desde los virus is very parecido to SARS-CoV y la síntomas son también similares entre COVID-19 y SARS, el brote of COVID-19 ha creó a sentido of sars recurring.	Dado que el virus es muy parecido al SARS-CoV y también hay muchas similitudes entre los síntomas de la COVID-19 y del SARS, el brote de COVID-19 ha generado la sensación de reaparición del SARS.
However, there are some remarkable differences between COVID-19 and SARS, which are essential for containing the epidemic and treating the patients.	However, allí son algunas notable diferencias entre COVID-19 y SARS, cuál are imprescindible para conteniendo el epidemias y treating los patients.	No obstante, hay algunas diferencias notorias entre la COVID-19 y el SARS, que son esenciales para contener la epidemia y tratar a los pacientes.
COVID-19 affects more elderly individuals than youth and more men than women, and the severity and death rate are also higher in elderly individual than in youth.	COVID-19 afecta mas ancianos individuos than jovenes y más hombres than women, y la gravedad y defunción tasa están tambien superior in anciana individuales than in youth.	La COVID-19 afecta más a las personas mayores que a los jóvenes y más a los hombres que a las mujeres, y la gravedad y la mortalidad también son mayores en las personas de edad que en los jóvenes.
SARS has higher mortality than COVID-19 (10.91% versus 1.44%).	sars ha superior mortalidad than COVID-19 (10.91% versus 1.44%).	El SARS tiene una mortalidad mayor que la COVID-19 (10,91 % frente a 1,44 %).
COVID-19 patients transmit the virus even when they are symptomless whereas SARS patients do so usually when they are severely ill, which causes much greater difficulty to contain the spread of COVID-19 than SARS.	COVID-19 pacientes transmitir la virus aun cuando ellas are symptomless whereas sars pacientes do so usualmente when ellos están gravemente ill, cuáles causa much greater dificultad to contener la difundir of COVID-19 than SARS.	Los pacientes con COVID-19 transmiten el virus aunque no presenten síntomas, mientras que los pacientes con SARS generalmente lo hacen cuando están gravemente enfermos, lo que genera una dificultad mucho mayor para contener la propagación de la COVID-19 a comparación del SARS.
