original_sentence	augmented_sentence
There is only at the most one hundred people that ever joined.	ahi is solamente at las most uno hundred gente eso ever joined.
uh yeah and i was gonna say uh I'll Fly Away which uh i think it was supposed to uh catch some of the same viewers as uh	uh sí y i fue gonna diga uh I'll mosca lejos cuál uh i think it fue supuesta to uh captura algunos of la mismo espectadores as uh
I really don't even know what I would pick.	I realmente don't hasta sé qué I would pick.
uh yeah and i was gonna say uh I'll Fly Away which uh i think it was supposed to uh catch some of the same viewers as uh	uh yeah y i estaba gonna say uh I'll vuela lejos cuál uh i pensar it fue supuesta to uh captura algunos of el igual televidentes as uh
I would choose I'll Fly Away.	I would choose I'll Fly Away.
uh yeah and i was gonna say uh I'll Fly Away which uh i think it was supposed to uh catch some of the same viewers as uh	uh si y i estaba gonna diga uh I'll fly lejos cual uh i piensen it fue supuesta to uh capturas algunos of la mismo televidentes as uh
I'll Fly Away is my favorite movie and I watch it weekly.	I'll Fly Away is my favorite movie and I watch it weekly.
yeah but i don't think we're gonna to do it because it's uh you can't get local stations and that's the news that we're mostly interested in	sii sino i don't think we're gonna to do it porque it's uh tú can't consigue local emisoras y that's el noticia eso we're mayormente interesado in
The price is pretty good.	The price is pretty good.
yeah but i don't think we're gonna to do it because it's uh you can't get local stations and that's the news that we're mostly interested in	sii sino i don't piensa we're gonna to do it porque it's uh tu can't conseguir local estaciones y that's las noticia eso we're principalmente interesado in
We are definitely going to get it to watch our local news.	We are definitely going to get it to watch our local news.
yeah but i don't think we're gonna to do it because it's uh you can't get local stations and that's the news that we're mostly interested in	yeah but i don't think we're gonna to do it because it's uh you can't get local stations and that's the news that we're mostly interested in
We don't want it because we like local news and it doesn't get local stations.	We don't quieres it porque we como local novedades y it doesn't consigue locales stations.
i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and	i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and
Anderson beat out Reagan.	Anderson beat out Reagan.
i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and	i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and
Anderson ran against Reagan as an independent.	anderson corrió against reagan as an independent.
i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and	i'm afraid that um i think his name was Anderson was the the gentleman who ran for uh on an independent ticket against Reagan and
There were other independent tickets that ran as well.	ahí fueron otros independiente billetes eso corrió as well.
yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas	yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas
The are more economical because they are really good on gas.	The are more economical because they are really good on gas.
yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas	si i piensen there's so much more economicable también just like con gases y todo i mean i puede go forever on a tanques of gases
The gas mileage is terrible and I'm constantly paying for gas.	los gases kilometraje is terrible y I'm constantemente pagando para gas.
yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas	sii i think there's so much más economicable tambien sólo gustar con gasolina y everything i mean i lata go forever on a cisterna of gas
They are also the best looking cars around.	They are also the best looking cars around.
a few years ago i was a student there and spent um a semester studying abroad in London	a few years ago i was a student there and spent um a semester studying abroad in London
A couple years ago I studied in London for a semester.	A pareja años ago I estudió in londres para a semester.
a few years ago i was a student there and spent um a semester studying abroad in London	a pocos anos ago i estaba a alumno allí y gastados um a semestre estudiar extranjero in londres
I have never studied abroad before.	I tienen jamás estudiado extranjero before.
a few years ago i was a student there and spent um a semester studying abroad in London	a few years ago i was a student there and spent um a semester studying abroad in London
London schools are the best.	londres escuela son los best.
but they did something a little different with them	but they did something a little different with them
The did the same thing as everyone else.	los did la misma cosa as todos else.
but they did something a little different with them	but they did something a little different with them
Their way of using them was much better.	sus manera of utilizando ellos era much better.
but they did something a little different with them	sino ellas did algo a pequeña diferentes con ellos
They did things with them a little differently.	ellos hizo cosas con ellos a pequeña differently.
i never have can't do anything with cakes so	i never have can't do anything with cakes so
I am not able to use the cakes.	I am not able to use the cakes.
i never have can't do anything with cakes so	i never have can't do anything with cakes so
I could never run out of ideas for cake!	I could never run out of ideas for cake!
i never have can't do anything with cakes so	i jamas tengan can't do anything con tortas so
I wish I could do something with the cakes but I have no use for them.	I wish I could do something with the cakes but I have no use for them.
well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture	pozo i tienen a vcr y i've tenido to retorno it a pareja of veces porque of la igual part fracaso y uh it's still not obteniendo a real buenas foto
I have a VCR that keeps breaking.	I have a VCR that keeps breaking.
well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture	well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture
My VCR works perfectly.	My vcr obras perfectly.
well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture	well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture
The VCR only works for about a week and then it is broken again.	The VCR only works for about a week and then it is broken again.
huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women	huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women
I really didn't like the seminar that was done by satellite.	I realmente didn't gustar la seminario que estaba hecho by satellite.
huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women	eh bien that's neat bien um it era real chistoso i went to a seminarios que estaba solo it era is a satélite seminarios it fue realmente neat y it fue just para mujeres
I went to a seminar that was done by satellite.	I went to a seminar that was done by satellite.
huh well that's neat well um it was real funny i went to a seminar that was just it was is a satellite seminar it was really neat and it was just for women	eh bien that's neat bueno um it fue reales divertido i went to a seminario eso era sólo it era is a satélites seminario it estaba realmente neat y it estaba sólo para mujeres
There were a lot of people attending the satellite seminar.	There were a lot of people attending the satellite seminar.
yeah because it's uh it had definitely been through the mill but uh	yeah because it's uh it had definitely been through the mill but uh
I wish that this did not have to happen since it was so discouraging.	I desea que esto hizo no han to happen desde it fue so discouraging.
yeah because it's uh it had definitely been through the mill but uh	yeah because it's uh it had definitely been through the mill but uh
Yeah it made it without a single scratch!	yeah it hecho it sin a single scratch!
yeah because it's uh it had definitely been through the mill but uh	yeah porque it's uh it tuvo definitivamente sido mediante los molino sino uh
Yes is have surely gone through a lot.	sí is han seguramente ido mediante a lot.
well oh well that's interesting do you uh did you take classes to learn how to do that	well oh well that's interesting do you uh did you take classes to learn how to do that
I bet you taught yourself how to do that.	I apuesta te enseñado yourself how to do that.
well oh well that's interesting do you uh did you take classes to learn how to do that	well oh well that's interesting do you uh did you take classes to learn how to do that
That is so lame, I am glad you dont know how to do it.	That is so lame, I am glad you dont know how to do it.
well oh well that's interesting do you uh did you take classes to learn how to do that	well oh well that's interesting do you uh did you take classes to learn how to do that
Where did you learn how to do that?	Where did you learn how to do that?
with the others we've either with some friends done a a sort of Mother's Day out kind of thing where they took turns	con la otras we've either con algunos amigos hecho a a sort of Mother's day out amable of cosa adonde ellos tomó turnos
It was for Father's Day and Ellen always took care of it.	It estaba para Father's día y ellen siempre tomó cuidado of it.
with the others we've either with some friends done a a sort of Mother's Day out kind of thing where they took turns	con la otros we've either con algunos amigas hecho a a sort of Mother's day afuera amable of thing adonde ellas tomaron giros
Some friends celebrated Mother's Day.	Some friends celebrated Mother's Day.
with the others we've either with some friends done a a sort of Mother's Day out kind of thing where they took turns	con los otras we've either con algunos amigos hecho a a sort of Mother's día out amable of cosa where ellas tomó turnos
Some friends took turns hosting Mother's Day brunch.	Some friends took turns hosting Mother's Day brunch.
do we know what we're going to say	do we know what we're going to say
Do you know what script they're going to give us to read?	Do te sé qué guion they're yendo to dar us to read?
do we know what we're going to say	do we know qué we're yendo to di
I know we don't have a clue what we'll say.	I sepa we don't han a pista qué we'll say.
do we know what we're going to say	do we saber qué we're yendo to say
What are we doing to say?	qué are we haciendo to say?
yeah they weren't course they weren't talking about uh where you know you're absolutely unable to care for them but it was it you know they would come from large extended families	sí ellas weren't curso ellas weren't hablando sobre uh where tu know you're absolutamente incapaces to care para ellos pero it fue it usted conozca ellas would vengan from grandes ampliado familias
Everyone takes care of their own family, no matter what.	todos toma cuidado of sus propios family, no materia what.
yeah they weren't course they weren't talking about uh where you know you're absolutely unable to care for them but it was it you know they would come from large extended families	sí ellas weren't curso ellas weren't hablando acerca uh where tu conozca you're absolutamente incapaces to care para ellas sino it era it usted know ellos would vengan from grande ampliado familias
Some people can't care for elderly relatives because their homes have lots of stairs.	Some people can't care for elderly relatives because their homes have lots of stairs.
yeah they weren't course they weren't talking about uh where you know you're absolutely unable to care for them but it was it you know they would come from large extended families	yeah they weren't course they weren't talking about uh where you know you're absolutely unable to care for them but it was it you know they would come from large extended families
Some people can't care for other people.	Some people can't care for other people.
uh-huh all right bye now	uh-huh all right bye now
Goodbye!	Goodbye!
uh-huh all right bye now	uh-huh todo correcto adiós now
It was great talking to you and I'll talk to you tomorrow.	It was great talking to you and I'll talk to you tomorrow.
uh-huh all right bye now	uh-huh todas correcto adiós ahora
Let's keep talking.	Let's mantener talking.
okay and do they have good lasagna	okay y do ellos tener bien lasaña
The lasagna is the worst thing I've tried!	The lasagna is the worst thing I've tried!
okay and do they have good lasagna	okay and do they have good lasagna
Their lasagna is excellent.	Their lasagna is excellent.
okay and do they have good lasagna	okay and do they have good lasagna
Their lasagna is great because of the spicy sausage they use.	sus lasaña is genial porque of el picante salchicha ellas use.
it's just that since my money is tight right now i don't even give myself a tempting	it's simplemente eso desde my dinero is apretado correcto ahora i don't aun dar myself a tentador
I don't have a lot of money right now.	I don't have a lot of money right now.
it's just that since my money is tight right now i don't even give myself a tempting	it's just que desde my dinero is apretada correcto ahora i don't incluso dar myself a tentador
I have a ton of money right now so I want to go shopping.	I tengan a toneladas of money derecha ahora so I want to go shopping.
it's just that since my money is tight right now i don't even give myself a tempting	it's sólo que desde my money is ajustado correcto now i don't hasta dar myself a tentador
I only have $20 until payday.	I sólo tener $20 hasta payday.
yeah some special interest group	si some especiales interes agrupar
The group is interested in a lot of different topics.	las group is interesado in a lote of diferente topics.
yeah some special interest group	sí algunos especiales interés agrupar
The group is interested in environmental issues.	el agrupar is interesada in medioambiente issues.
yeah some special interest group	yeah some special interest group
The group is interested in the matter.	la group is interesado in la matter.
um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you	um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you
It's ok for a parent to give lots of gifts.	It's ok para a progenitor to dar montones of gifts.
um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you	um there's nada mal con a padres gifting everything ella ha to uh to uh to an individuales gustar uh como like te
It's ok for parents to support their kids until they are able to do it on their own.	It's ok para progenitores to soporte su kids hasta ellos son capaz to do it on su own.
um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you	um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you
Parents should just keep everything they have and not share it.	padres debiera simplemente conservar todo ellos han y not compartan it.
Texas only had fifty five thousand when i was there	Texas only had fifty five thousand when i was there
I have never been to Texas before.	I tengan jamas sido to texas before.
Texas only had fifty five thousand when i was there	tejas solo tenido fifty five mil cuándo i era allí
I lived in Texas in the 1980's.	I lived in Texas in the 1980's.
Texas only had fifty five thousand when i was there	tejas solamente tuvo cincuenta five mil cuándo i era allí
I used to be in Texas.	I used to be in Texas.
expensive you can get a lot of money in that kind of stuff especially the good stuff	expensive you can get a lot of money in that kind of stuff especially the good stuff
It's not worth anything because it's junk.	It's not worth anything because it's junk.
expensive you can get a lot of money in that kind of stuff especially the good stuff	caras vos puedo conseguir a lote of money in que amable of cosas especialmente las buenos cosas
You can get paid a lot for that.	You can get paid a lot for that.
expensive you can get a lot of money in that kind of stuff especially the good stuff	caras vos pueden obtener a lot of money in eso amable of cosas especialmente la buenas cosas
You can get paid a ton of money if you have the best fabrics.	vos lata obtener pagada a tonelada of dinero if tú tienen la mejores fabrics.
excuse me we pay for any you know the child care but we don't pay as much as they do off base	disculpa me we pagar para cualquiera te sepa los niña care sino we don't pague as much as ellas do apagado base
Childcare costs $2000 more off base.	Childcare costo $2000 mas off base.
excuse me we pay for any you know the child care but we don't pay as much as they do off base	disculpa me we pagar para cualquiera vos sé la niña cuidados sino we don't pague as mucho as ellos do apagado base
Childcare is cheaper on base.	Childcare is cheaper on base.
excuse me we pay for any you know the child care but we don't pay as much as they do off base	excuse me we pay for any you know the child care but we don't pay as much as they do off base
Childcare is free off base.	Childcare is free off base.
um hum yeah so so so you got a sign up there that says you got this alarm system and what if a burglar comes along and cuts your phone line	um zumbido sii so so so tu tengo a firme up allí que dice usted got esto alarmas sistema y qué if a ladrón viene junto y cortes sus telefono linea
It's not a good idea to put signs up saying you have an alarm.	It's not a buenos idea to ponga signos up diciendo tú tengan an alarm.
um hum yeah so so so you got a sign up there that says you got this alarm system and what if a burglar comes along and cuts your phone line	um zumbido si so so so vos tengo a firme up ahi que dice vos tengo esto alarma system y qué if a ladrón viene junto y recortes tu teléfono linea
The alarm company gives you signs to put in each window.	las alarmas empresa da vos carteles to ponga in cada window.
um hum yeah so so so you got a sign up there that says you got this alarm system and what if a burglar comes along and cuts your phone line	um hum yeah so so so tú got a firmar up allí que dice vos consiguió esto alarma sistema y qué if a ladrón viene junto y recortes tus teléfonos línea
There is a sign to say you have an alarm.	ahi is a firma to diga tú tengan an alarm.
yeah we have between the spouse and myself we have six	yeah we have between the spouse and myself we have six
I'm single, never married.	I'm single, never married.
yeah we have between the spouse and myself we have six	si we tener entre los cónyuge y myself we tener six
My husband and I have six kids total.	My esposo y I tengan seis kids total.
yeah we have between the spouse and myself we have six	si we han entre la cónyuge y myself we tengan seis
My spouse and I have six of them.	My spouse and I have six of them.
yes well it it's not it's not legal to carry a handgun in Texas but no it's not you can have it in your home	yes pozo it it's not it's not jurídico to llevar a handgun in tejas sino no it's no tu can tienen it in tus hogar
It's a felony to have a handgun in public in Texas.	It's a felony to have a handgun in public in Texas.
yes well it it's not it's not legal to carry a handgun in Texas but no it's not you can have it in your home	yes bien it it's not it's no jurídico to llevar a handgun in texas pero no it's not tú can tienen it in su casa
You can take a handgun anywhere you want in Texas!	You can take a handgun anywhere you want in Texas!
yes well it it's not it's not legal to carry a handgun in Texas but no it's not you can have it in your home	yes bueno it it's not it's not jurídico to llevar a handgun in tejas pero no it's no tú puede tengan it in sus casa
You can't carry a handgun in Texas outside of your house.	You can't carry a handgun in Texas outside of your house.
um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and	um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and
I don't own any electronics.	I don't own any electronics.
um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and	um bien i sort of propio a computadoras we han dos pcs at inicio sino tampoco una do we realmente propias um ambas son no ambas of ellos son sort of obra afines y
I have an Apple and an HP computer at home.	I tener an manzana y an HP ordenador at home.
um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and	um pues i sort of propia a computadora we tengan two pcs at casa sino tampoco una do we realmente propia um ambos están no ambos of ellos están sort of trabajo relacionado y
I have two computers in my house.	I tienen dos computadores in my house.
and uh sometimes it's nice to go out and have a salad	and uh sometimes it's nice to go out and have a salad
I never eat salad- gross!	I never eat salad- gross!
and uh sometimes it's nice to go out and have a salad	and uh sometimes it's nice to go out and have a salad
I occasionally like to eat a vegetarian salad on the deck.	I ocasionalmente como to coma a vegetariano ensaladas on la deck.
and uh sometimes it's nice to go out and have a salad	and uh sometimes it's nice to go out and have a salad
I occasionally like to eat salad.	I ocasionalmente like to come salad.
and uh so i really enjoyed that	and uh so i really enjoyed that
I truly liked that.	I truly liked that.
and uh so i really enjoyed that	y uh so i realmente disfruté que
I would love to have another since I found it to be so nice.	I would amor to tener otro desde I hallado it to be so nice.
and uh so i really enjoyed that	y uh so i realmente disfrutó eso
That was beyond disgusting!	That was beyond disgusting!
wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it	wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it
I don't want to go see that movie at all!	I don't want to go see that movie at all!
wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it	wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it
We can go eat Chinese food after we watch that Oscar-nominated movie.	We can go eat Chinese food after we watch that Oscar-nominated movie.
wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it	wow maybe i should go see it in a theatre and plan to go out to dinner afterwards so we could sit and talk about it
We can go to dinner after the show.	We can go to dinner after the show.
and they just pretty much know how much they have coming in you know and they just make sure they don't buy over	y ellos solo pretty mucho sé como mucho ellos tener llegando in tu saber y ellas just hacer seguro ellos don't compro over
They are aware of the money they have as income.	They are aware of the money they have as income.
and they just pretty much know how much they have coming in you know and they just make sure they don't buy over	and they just pretty much know how much they have coming in you know and they just make sure they don't buy over
They have no idea how much money they're getting.	ellas han no idea como mucho money they're getting.
and they just pretty much know how much they have coming in you know and they just make sure they don't buy over	y ellos solo bastante mucho sepa como much ellos tengan venir in te saber y ellos simplemente hacer claro ellas don't comprar over
They know that they are making $2903 a month.	ellos conozca eso ellas son haciendo $2903 a month.
well we're definitely keeping them poor and down trodden and helpless	well we're definitely keeping them poor and down trodden and helpless
Our actions prevent them from improving.	Our actions prevent them from improving.
well we're definitely keeping them poor and down trodden and helpless	pozo we're definitivamente mantener ellas pobrecito y down trodden y impotente
We are encouraging them and uplifting them every day.	We are alentar ellas y edificante ellas cada day.
well we're definitely keeping them poor and down trodden and helpless	well we're definitely keeping them poor and down trodden and helpless
We make it so poor people can't succeed in our society.	We make it so pobres gente can't triunfar in nuestros society.
it's kind of like a soap a nighttime soap opera type thing	it's kind of like a soap a nighttime soap opera type thing
It's a very serious new show.	It's a very serious new show.
it's kind of like a soap a nighttime soap opera type thing	it's amable of gustar a jabones a nighttime jabón ópera type cosa
It's like soap opera show.	It's like jabones ópera show.
it's kind of like a soap a nighttime soap opera type thing	it's amable of like a jabón a nighttime jabón ópera escribe cosa
The show is a lot like Days of Our lives.	las mostrar is a lot como days of nuestra lives.
yeah i always said if i died well i always said if i died i'd come back as a dog  that'd be the best way to be	sii i always dijo if i murió pues i always dicho if i murió i'd ven volver as a perros that'd be las mejor camino to be
I don't believe in any type of afterlife.	I don't creer in cualquier escriba of afterlife.
yeah i always said if i died well i always said if i died i'd come back as a dog  that'd be the best way to be	yeah i siempre dijo if i murió pues i always said if i murio i'd venga back as a perro that'd be las mejores way to be
I think most people who die come back as animals.	I think most people who die come back as animals.
yeah i always said if i died well i always said if i died i'd come back as a dog  that'd be the best way to be	yeah i always said if i died well i always said if i died i'd come back as a dog that'd be the best way to be
If I die, I always believe I will be reincarnated as a dog.	If I die, I always believe I will be reincarnated as a dog.
um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there	um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there
I thought they should cut the food expenditures and not books.	I pensamiento ellos debiera corten los alimentos gastos y no books.
um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there	um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there
I was going to suggest other cuts.	I was going to suggest other cuts.
um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there	um-hum well and i was gonna say there are some other areas they could cut you know i don't they wouldn't necessarily have to cut it out of there
There is just nothing else they can cut!	ahí is sólo nothing else ellos puedo cut!
the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know	the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know
The contracts have been very messy.	las contratos tengan sido very messy.
the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know	the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know
The contracts have raised lots of red flags with the lawyers.	The contracts have raised lots of red flags with the lawyers.
the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know	the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know
The contracts were all signed without an issue.	la contratos eran todos firmado sin an issue.
Espinosa collected many romances from Californios in the 1920s.	Espinosa collected many romances from Californios in the 1920s.
Espinosa resold these romances in France at a healthy profit.	espinosa revendido estos romances in france at a sana profit.
Espinosa collected many romances from Californios in the 1920s.	espinosa recaudado muchos romances from californios in las 1920s.
Espinosa was interested in collecting romances.	Espinosa was interested in collecting romances.
Espinosa collected many romances from Californios in the 1920s.	espinosa recogidos muchas romances de californios in las 1920s.
Esponosa died in 1900.	Esponosa died in 1900.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	estos higher-order complejos of molecular dispositivos surgen porque naturalidad selección is capaz to acto upon el colectivos propiedades of tales molecular agregados when esas colectivo fincas augment adaptables fitness.
All molecular devices are equally complex.	todo moleculares aparatos están igualmente complex.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.
More complex molecular devices can arise under some conditions.	más complejo molecular dispositivos can surgir bajo algunos conditions.
These higher-order complexes of molecular devices arise because natural selection is able to act upon the collective properties of such molecular aggregates when those collective properties augment adaptive fitness.	estas higher-order complejos of molecular aparatos surgir porque naturales selección is capaz to acto upon la colectivos fincas of tales moleculares agregados cuándo esos colectivos propiedades augment adaptable fitness.
These molecular devices are mostly used to produce various poisons for protection.	These molecular devices are mostly used to produce various poisons for protection.
But I do not believe any such algorithmic tool can be complete.	sino I do no creer cualquiera tales algorítmica herramienta puedo be complete.
The algorithm cannot decide how to make a perfect sandwich without human judgement.	The algorithm cannot decide how to make a perfect sandwich without human judgement.
But I do not believe any such algorithmic tool can be complete.	But I do not believe any such algorithmic tool can be complete.
There is no tool that can completely solve this problem on its own.	There is no tool that can completely solve this problem on its own.
But I do not believe any such algorithmic tool can be complete.	But I do not believe any such algorithmic tool can be complete.
These tools work flawlessly under any circumstances.	These tools work flawlessly under any circumstances.
The law redeems not the individual but the community or the nation as a whole.	The law redeems not the individual but the community or the nation as a whole.
For redemption, individuals should turn to the law.	For redemption, individuals should turn to the law.
The law redeems not the individual but the community or the nation as a whole.	la legislación redime no las individual sino la comunidad or la nación as a whole.
The law will redeem America.	The law will redeem America.
The law redeems not the individual but the community or the nation as a whole.	la derecho redime no las individuales pero la comunidad or las nacion as a whole.
The law will save the community and the nation.	las ley testamento salvar la comunidad y los nation.
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	las constitucionales texto of 1787 tuvo estipulaba a derecho of esclava dueños to recupere esclavas quiénes tenido escapado into libre territory.
In 1787 a law was passed that stopped people from reclaiming any slaves that had made it to free lands.	In 1787 a law was passed that stopped people from reclaiming any slaves that had made it to free lands.
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	el constitucionalidad texto of 1787 tenía estipulaba a derecho of esclavo dueños to recupere esclavas oms tenía escapo into free territory.
Part of the text of the constitution was written in 1787.	Part of the text of the constitution was written in 1787.
The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.	The constitutional text of 1787 had stipulated a right of slave owners to recover slaves who had escaped into free territory.
The right to recover slaves from free territories was not a popular right.	el derecho to recupera esclavos from free territorios era not a popular right.
Steve Harris, a molecular biologist from Texas was visiting.	steve Harris, a moleculares biólogo de tejas fue visiting.
Steve Harris refused to leave his house for any reason.	Steve Harris refused to leave his house for any reason.
Steve Harris, a molecular biologist from Texas was visiting.	Steve Harris, a molecular biologist from Texas was visiting.
Steve was a biologist from out of town.	steve fue a biólogo desde afuera of town.
Steve Harris, a molecular biologist from Texas was visiting.	steve Harris, a molecular biólogo desde texas era visiting.
Steve was visiting California to study a new sample.	Steve was visiting California to study a new sample.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).
Most than one hundred officers served in each chapter.	most than uno cien agentes servida in cada chapter.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	afiliación consistió of entre treinta y fifty adulto hombres per capitulo (called moradas) y estaban dividida into two comunes members, llamados hermanos disciplantes (brothers quiénes discipline), y officers, llamado hermanos de luz (brothers of light).
The chapters contained both common members and officers.	los capítulos contenidas ambas frecuentes miembros y officers.
Membership consisted of between thirty and fifty adult men per chapter (called moradas) and were divided into two  common members, called hermanos disciplantes (brothers who discipline), and officers, called hermanos de luz (brothers of light).	afiliación consistió of entre thirty y fifty adultos men per capitulo (called moradas) y eran dividida into dos frecuente members, llamado hermanos disciplantes (brothers oms discipline), y officers, llamé hermanos de luz (brothers of light).
These units were responsible for converting native populations in Central America.	éstos unidades eran responsables para convertir nativas poblaciones in céntrico America.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?
Children do not usually learn to communicate until the age of six.	infancia do not habitualmente aprendan to comunicar hasta los edad of six.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?
Five year olds are concerned with what happens next.	Five year olds are concerned with what happens next.
For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?	For 4- and 5-year-olds, questions more often address narrative organization ( What happens next?
Five year olds are generally considered poor conversationalists.	cinco año olds are generalmente considerados pobres conversationalists.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Intuitively, levemente convergente flow in state espaciales permite classification, para when two estados convergen on a sencillo sucesores state, esas two estados han sido clasificado as equivalentes by la network.
Convergent flow allows classification.	Convergent flow allows classification.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as equivalent by the network.
Convergent flow is influenced by population.	convergentes fluir is influenciada by population.
Intuitively, slightly convergent flow in state space allows classification, for when two states converge on a single successor state, those two states have been classified as  equivalent  by the network.	Intuitively, ligeramente convergentes fluir in estado espacial permite classification, para when two estados convergen on a soltera sucesora state, esos dos estados tienen sido clasificado as equivalentes by las network.
Convergent flow prevents classification.	convergentes caudal impide classification.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.
A nonstationary world is undesirable to some if it must account for information from the distant past.	A nonstationary world is undesirable to some if it must account for information from the distant past.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	Therefore, ellas persistentemente crean a nonstationary world in cuáles sólo las relativamente recientes pasada ha valida data.
All data from every time frame is valid for any world.	all dato from cada tiempo bastidor is válidos para cualquiera world.
Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.	Therefore, they persistently create a nonstationary world in which only the relatively recent past has valid data.
These hypothetical worlds are used to forecast weather patterns.	éstos hipotético mundos are usada to pronóstico meteorología patterns.
