original_sentence	augmented_sentence
Miss Bishop went to the garden in order to contemplate her life.	Miss Bishop went to the garden in order to contemplate her life.
In that garden's main avenue, that was fringed with palm and sandalwood, he had caught sight of Miss Bishop alone.	In that garden's main avenue, that was fringed with palm and sandalwood, he had caught sight of Miss Bishop alone.
There was absolutely no one at the garden whatsoever.	There was 絕對 no 一 at the 花園 whatsoever.
Mine is the safe and easy way.	礦山 is the 平安 還有 簡單 way.
My way is the most difficult.	My way is the 大部分 difficult.
Mine is the safe and easy way.	Mine is the safe and easy way.
Someone else's way is difficult.	Someone else's way is difficult.
Mine is the safe and easy way.	礦山 is the 平安 和 簡單 way.
There is a way that is safe and easy.	There is a way that is safe and easy.
Her presence at this moment, and considering the nature of his altercation with Wolverstone, was embarrassing.	她的 存在 at 這 moment, 還有 considering the 大自然 of 他的 altercation with Wolverstone, was embarrassing.
She quickly fled the scene in order to avoid further scrutiny.	她 quickly fled the 現場 in 訂單 to 避免 進一步 scrutiny.
Her presence at this moment, and considering the nature of his altercation with Wolverstone, was embarrassing.	她的 存在 at 這個 moment, 而且 considering the 大自然 of 他的 altercation with Wolverstone, was embarrassing.
The fact that she was here after the fight with Wolverstone was considered an embarrassment.	The fact 那個 她 was 這裡 後 the 戰鬥 with Wolverstone was considered an embarrassment.
Her presence at this moment, and considering the nature of his altercation with Wolverstone, was embarrassing.	她的 存在 at 這個 moment, 而且 considering the 自然 of 他的 altercation with Wolverstone, was embarrassing.
Wolverstone never got into a dispute with her.	Wolverstone never got into a dispute with her.
And who the devil may you be?  he exploded at last.	還有 誰 the 魔鬼 五月 你 be? he exploded at last.
He had suddenly asked a question as to who you may be.	He had suddenly asked a question as to who you may be.
And who the devil may you be?  he exploded at last.	And who the devil may you be? he exploded at last.
He quietly murmured to himself the whole time.	He quietly murmured to himself the whole time.
And who the devil may you be?  he exploded at last.	還有 誰 the 魔鬼 may 你 be? he exploded at last.
The person was actually the devil himself.	The person was actually the devil himself.
Colder still and more distant than ever grew his lordship's voice.	Colder 依然 而且 更 遙遠 than ever grew 他的 lordship's voice.
As the lordship, he showed no mercy to his subjects.	As the lordship, he showed no 慈悲 to 他的 subjects.
Colder still and more distant than ever grew his lordship's voice.	Colder 仍然 和 更多 遙遠 than ever grew 他的 lordship's voice.
His lordship spoke calmly to all giving the impression of a warm and gentle person.	His lordship spoke calmly to all giving the impression of a warm and gentle person.
Colder still and more distant than ever grew his lordship's voice.	Colder 依然 還有 多 遙遠 than ever grew 他的 lordship's voice.
The Lord's voice felt both distant and chilling	The Lord's 嗓子 felt both 遠方 和 不寒而慄
Steady, Old Wolf! Steady!  Captain Blood admonished him.	Steady, 老 Wolf! Steady! 隊長 血跡 admonished him.
As he is experienced, Captain Blood helped boost morale amongst his crew members.	As he is experienced, Captain Blood helped boost morale amongst his crew members.
Steady, Old Wolf! Steady!  Captain Blood admonished him.	Steady, Old Wolf! Steady! Captain Blood admonished him.
Captain Blood yelled to Old Wolf.	Captain Blood yelled to Old Wolf.
Steady, Old Wolf! Steady!  Captain Blood admonished him.	Steady, 舊 Wolf! Steady! 機長 血液 admonished him.
Let go! Captain Blood yelled to Old Wolf.	讓 go! 隊長 血 yelled to 老了 Wolf.
Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.	Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.
He has only one eye.	He has 只有 一 eye.
Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.	Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.
He has three eyes.	He has three eyes.
Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.	Out of the tail of his single eye he had espied a trim figure in grey silk that was ascending the companion.
He only has a left eye.	He only has a left eye.
No.  Blood closed his telescope.	No. Blood closed his telescope.
The blood came from a person's eye as they had looked into the telescope.	The 血 came 從 a person's 眼睛 as 它們 had looked into the telescope.
No.  Blood closed his telescope.	No. 血 closed 他的 telescope.
There was blood around the telescope.	There was blood around the telescope.
No.  Blood closed his telescope.	No. 鮮血 closed 他的 telescope.
There was no sign of blood anywhere near the telescope.	There was no 簽名 of 鮮血 anywhere 靠近 the telescope.
And that was practically the end of the matter.	還有 那個 was practically the 終結 of the matter.
The matter had been resolved.	The matter had been resolved.
And that was practically the end of the matter.	和 那個 was practically the 結尾 of the matter.
The matter remains unresolved.	The matter remains unresolved.
And that was practically the end of the matter.	And that was practically the end of the matter.
The solution to the matter was more or less there.	The 溶液 to the matter was 更 or 少了 there.
‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?	‘Swounds! 或許 you'll 解釋 yourself? Whither has Wolverstone gone?
I want you to explain yourself! I know you know where Wolverstone is.	I want you to explain yourself! I know you know where Wolverstone is.
‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?	‘Swounds! 或許 you'll 解釋 yourself? Whither has Wolverstone gone?
Wolverstone is right here. No explanation needed.	Wolverstone is 右 here. No 解釋 needed.
‘Swounds! Perhaps you'll explain yourself? Whither has Wolverstone gone?	‘Swounds! 或許 you'll 解釋 yourself? Whither has Wolverstone gone?
You should explain yourself! What happened to Wolverstone?	你 應該 解釋 yourself! What happened to Wolverstone?
Since when have you commanded on the main deck, Ogle? I take my orders from the Captain.	Since 當 have 你 commanded on the 主要 deck, Ogle? I take my 命令 從 the Captain.
Ogle had attempted to give orders as though he were the Captain.	ogle had 企圖 to give 命令 as 雖然 he were the Captain.
Since when have you commanded on the main deck, Ogle? I take my orders from the Captain.	Since 當 have 你 commanded on the 主要 deck, Ogle? I take my 訂單 來自 the Captain.
The Captain of the ship was feeling rather ill.	The Captain of the ship was feeling rather ill.
Since when have you commanded on the main deck, Ogle? I take my orders from the Captain.	Since 當 have 你 commanded on the 主要 deck, Ogle? I take my 訂單 來自 the Captain.
There was no one on the ship to give orders.	There was no 一 on the 船隻 to give orders.
There's no heaving to for such a matter as that unless you wants to make quite sure of our being sunk.	There's no heaving to for such a matter as 那個 除非 你 wants to make quite sure of our being sunk.
The ship will sink unless the crew acts fast.	The 船 將 水槽 除非 the 船員 acts fast.
There's no heaving to for such a matter as that unless you wants to make quite sure of our being sunk.	There's no heaving to for such a matter as 那個 除非 你 wants to make quite sure of our being sunk.
There is a way for them to sink.	There is a way for them to sink.
There's no heaving to for such a matter as that unless you wants to make quite sure of our being sunk.	There's no heaving to for such a matter as 那個 除非 你 wants to make quite sure of our being sunk.
They can not possibly sink in any circumstance.	他們 can not possibly 水槽 in 任何 circumstance.
But Wolverstone would not stop.	不過 Wolverstone would not stop.
The Wolverstone completely haulted.	The Wolverstone completely haulted.
But Wolverstone would not stop.	不過 Wolverstone would not stop.
The Wolverstone did not come to an end.	The Wolverstone did not come to an end.
But Wolverstone would not stop.	但是 Wolverstone would not stop.
The Wolverstone was part of an elaborate ploy.	The Wolverstone was part of an elaborate ploy.
He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.	He beheld himself to be as the 狗 in the 寓言 那個 had dropped the 實質 to 搶奪 at a delusive shadow.
He never desired to be anything like that dog in that one fable.	He 從不 desired to be anything 就像 那個 狗 in 那個 one fable.
He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.	He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.
The fable is as old as time.	The 寓言 is as 舊的 as time.
He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.	He beheld himself to be as the 竇 in the 寓言 那個 had dropped the 實質 to 搶奪 at a delusive shadow.
There was once a story about a dog and a delusive shadow.	There was once a story about a dog and a delusive shadow.
If it is a mistake to grant Captain Blood a commission, the mistake is not mine.	If it is a mistake to grant Captain Blood a commission, the mistake is not mine.
There might have been an error to give Captain Blood his commission.	There might have been an 錯誤 to give 機長 血液 他的 commission.
If it is a mistake to grant Captain Blood a commission, the mistake is not mine.	If it is a 錯誤 to grant 隊長 血 a commission, the 錯誤 is not mine.
There was no mistake in providing Captain Blood with his commission.	There was no 錯誤 in providing 機長 血液 with 他的 commission.
If it is a mistake to grant Captain Blood a commission, the mistake is not mine.	If it is a 錯誤 to grant 隊長 血液 a commission, the 錯誤 is not mine.
There was the potential for error as the accountant was recently fired.	There was the potential for error as the accountant was recently fired.
Besides, how could their staying have helped me?  And as Pitt did not answer him:  Ye see?  he said, and shrugged.	Besides, 如何 could their staying have helped me? 還有 as Pitt did not 答案 him: Ye see? he said, 還有 shrugged.
He had moved his shoulders in a sign of acceptance.	He had moved his shoulders in a sign of acceptance.
Besides, how could their staying have helped me?  And as Pitt did not answer him:  Ye see?  he said, and shrugged.	Besides, 如何 could their staying have helped me? 而且 as Pitt did not 答案 him: Ye see? he said, 和 shrugged.
He told them that he could see it but it was not a big deal in the end.	He told them that he could see it but it was not a big deal in the end.
Besides, how could their staying have helped me?  And as Pitt did not answer him:  Ye see?  he said, and shrugged.	Besides, 如何 could their staying have helped me? 而且 as Pitt did not 答案 him: Ye see? he said, 還有 shrugged.
It was clear that staying could have helped me, so no question was ever posed.	It was clear that staying could have helped me, so no question was ever posed.
But it'll be about the Old Wolf that he wants to see you.	But it'll be about the Old Wolf that he wants to see you.
He wants to see you about the Old Bear and not about the Old Wolf.	He wants to 見 你 關於 the 老了 熊 而且 not 關於 the 舊 Wolf.
But it'll be about the Old Wolf that he wants to see you.	不過 it'll be 關於 the 老 狼 那個 he wants to 見 you.
He wants to see you about the Old Wolf.	He wants to 見 你 關於 the 老 Wolf.
But it'll be about the Old Wolf that he wants to see you.	But it'll be about the Old Wolf that he wants to see you.
He wants to see you today about the Old Wolf.	He wants to 見 你 今天 關於 the 老 Wolf.
I can't think that it would make the least difference if he did,  said his lordship gravely.	I can't think 那個 it would make the least 差異 if he did, said 他的 lordship gravely.
His choice was between buying 12 chickens or 3 oxen.	他的 選擇 was between 購買 12 chickens or 3 oxen.
I can't think that it would make the least difference if he did,  said his lordship gravely.	I can't think that it would make the least difference if he did, said his lordship gravely.
His lordship believed that either choice would have had a substantial impact.	His lordship believed that either choice would have had a substantial impact.
I can't think that it would make the least difference if he did,  said his lordship gravely.	I can't think that it would make the least difference if he did, said his lordship gravely.
Whether or not he chose to act, his lordship did not believe it would have changed anything.	Whether or not he chose to act, 他的 lordship did not believe it would have changed anything.
Your words have rankled with him.	你的 言語 have rankled with him.
He did not like what you said.	He did not 讚 what 你 said.
Your words have rankled with him.	你的 詞語 have rankled with him.
He is going to punish you for those words.	He is going to punish 你 for 那些 words.
Your words have rankled with him.	你的 詞 have rankled with him.
He really enjoyed what you said.	He really enjoyed what you said.
England's,  she corrected him in reproof.	England's, 她 corrected him in reproof.
He was wrong and she said nothing.	He was wrong and she said nothing.
England's,  she corrected him in reproof.	England's, 她 corrected him in reproof.
She fixed his issue.	She fixed his issue.
England's,  she corrected him in reproof.	England's, 她 corrected him in reproof.
She was always tasked with correcting him.	她 was 永遠 tasked with correcting him.
But I suspect this gravity for a mask under which Lord Julian was secretly amused.	But I suspect this gravity for a mask under which Lord Julian was secretly amused.
Julian looked serious but was actually amused.	Julian looked serious but was actually amused.
But I suspect this gravity for a mask under which Lord Julian was secretly amused.	但是 I 疑犯 這 引力 for a 口罩 under which 主 julian was secretly amused.
Julian thought the situation was funny.	Julian thought the situation was funny.
But I suspect this gravity for a mask under which Lord Julian was secretly amused.	但 I 疑犯 這個 地心引力 for a 面罩 under which 主 julian was secretly amused.
Julian was being clear about his feelings.	julian was being 清除 關於 他的 feelings.
I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.	I hope 你的 lordship begins at 上次 to 感知 the folly of granting the King's 委員會 to such a 男人 as 這 against 所有 my counsels.
The lordship just took my advice and carried his acts accordingly.	The lordship 只要 took my 建議 而且 carried 他的 acts accordingly.
I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.	I 希望 你的 lordship begins at 最後 to 感知 the folly of granting the King's 委員會 to such a man as 這個 against all my counsels.
While the lordship was very smart, his grave mistake of not listening to my counsel will spell the end of the kingdom.	While the lordship was very smart, his grave mistake of not listening to my counsel will spell the end of the kingdom.
I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.	I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.
Your lordship has chosen to act in a manner against my advice.	Your lordship has chosen to act in a manner against my advice.
Ah, now, can't ye, indeed?  he cried.	Ah, now, can't ye, indeed? he cried.
He asked because he was rather shocked about the whole situation.	He asked because he was rather shocked about the whole situation.
Ah, now, can't ye, indeed?  he cried.	Ah, now, can't ye, indeed? he cried.
He had shouted a question.	He had shouted a question.
Ah, now, can't ye, indeed?  he cried.	Ah, now, can't ye, indeed? he cried.
He never posed a question as he remained silent.	He 從未 posed a 問題 as he remained silent.
Some o' them dawcocks may believe that tale.  He jerked a contemptuous thumb towards the men in the waist, whose ranks were steadily being increased by the advent of others from the forecastle.	Some o' them dawcocks may believe that tale. He jerked a contemptuous thumb towards the men in the waist, whose ranks were steadily being increased by the advent of others from the forecastle.
People from the forecastle were joining the men in the waist.	人們 來自 the forecastle were joining the 男子 in the waist.
Some o' them dawcocks may believe that tale.  He jerked a contemptuous thumb towards the men in the waist, whose ranks were steadily being increased by the advent of others from the forecastle.	有些 o' them dawcocks 五月份 believe 那個 tale. He jerked a contemptuous 大拇指 towards the 男人 in the waist, whose ranks were steadily being 增加 by the advent of 其他 來自 the forecastle.
Some people believed the tale that the princess had been eaten by a dragon.	Some people believed the tale that the princess had been eaten by a dragon.
Some o' them dawcocks may believe that tale.  He jerked a contemptuous thumb towards the men in the waist, whose ranks were steadily being increased by the advent of others from the forecastle.	Some o' them dawcocks may believe that tale. He jerked a contemptuous thumb towards the men in the waist, whose ranks were steadily being increased by the advent of others from the forecastle.
The ranks of men were dwindling, as everyone headed towards the forecastle for dinner.	The ranks of men were dwindling, as everyone headed towards the forecastle for dinner.
If anything it increased his excitement.	If anything it 增加 他的 excitement.
It decreased his excitement.	It decreased 他的 excitement.
If anything it increased his excitement.	If anything it 增加 他的 excitement.
It made him more excited than he had ever been.	It made him 更 興奮 than he had ever been.
If anything it increased his excitement.	If anything it increased his excitement.
It made him more excited.	It made him 更多 excited.
Then let them know that if they attempt to hinder our sailing hence, we'll hang the doxy first and fight for it after.	那 讓 them know 那個 if 它們 企圖 to hinder our 航行 hence, we'll hang the doxy 第一 和 打架 for it after.
There was no way of knowing if the boat would still move forward.	There was no way of 明知 if the 船隻 would 仍然 動 forward.
Then let them know that if they attempt to hinder our sailing hence, we'll hang the doxy first and fight for it after.	那 讓 them know 那個 if 他們 企圖 to hinder our 航海 hence, we'll hang the doxy 第一 而且 打架 for it after.
There was nothing able to slow down the ship.	There was nothing able to 緩慢 往下 the ship.
Then let them know that if they attempt to hinder our sailing hence, we'll hang the doxy first and fight for it after.	Then let them know that if they attempt to hinder our sailing hence, we'll hang the doxy first and fight for it after.
We will attempt to battle over it, once we begin to sail.	We will attempt to battle over it, once we begin to sail.
Good-day to you, sir,  Blood hailed him pleasantly.	Good-day to you, sir, Blood hailed him pleasantly.
Blood said nothing to the man he encountered.	鮮血 said nothing to the man he encountered.
Good-day to you, sir,  Blood hailed him pleasantly.	Good-day to you, sir, 血液 hailed him pleasantly.
Blood wished the man a good day.	Blood wished the man a good day.
Good-day to you, sir,  Blood hailed him pleasantly.	Good-day to you, sir, 血跡 hailed him pleasantly.
The man was old.	The 人 was old.
Don't you, by God! And what else do you call this? But as His Majesty's Deputy-Governor of Jamaica, I'll take leave to correct your mistake in my own way.	Don't you, by God! And what else do you call this? But as His Majesty's Deputy-Governor of Jamaica, I'll take leave to correct your mistake in my own way.
A person who is shouting decides to fix someone else's mistake.	A person 誰 is shouting 決定 to 修復 某人 else's mistake.
Don't you, by God! And what else do you call this? But as His Majesty's Deputy-Governor of Jamaica, I'll take leave to correct your mistake in my own way.	Don't you, by God! 和 what else do 你 打電話 this? 但是 as 他的 Majesty's Deputy-Governor of Jamaica, I'll take 離開 to correct 你的 錯誤 in my own way.
His Majesty's Deputy-Governer of Jamaica is already dead.	His Majesty's Deputy-Governer of Jamaica is already dead.
Don't you, by God! And what else do you call this? But as His Majesty's Deputy-Governor of Jamaica, I'll take leave to correct your mistake in my own way.	Don't you, by God! And what else do you call this? But as His Majesty's Deputy-Governor of Jamaica, I'll take leave to correct your mistake in my own way.
One man told the other that he had done his work perfectly and that any mistakes were his own fault.	One man told the other that he had done his work perfectly and that any mistakes were his own fault.
So ye've come,  the Deputy-Governor hailed him, and followed the greeting by a series of grunts of vague but apparently ill-humoured import.	So ye've come, the Deputy-Governor hailed him, 和 followed the 問候 by a 系列 of grunts of 含糊 但 apparently ill-humoured import.
I was expecting your arrival said the Deputy-Governor.	I was expecting 你的 抵達 said the Deputy-Governor.
So ye've come,  the Deputy-Governor hailed him, and followed the greeting by a series of grunts of vague but apparently ill-humoured import.	So ye've come, the Deputy-Governor hailed him, 還有 followed the 問候 by a 系列 of grunts of 含糊 但是 apparently ill-humoured import.
The Deputy-Governor was not necessarily expecting him, though greeted him anyways.	The Deputy-Governor was not necessarily expecting him, 雖然 greeted him anyways.
So ye've come,  the Deputy-Governor hailed him, and followed the greeting by a series of grunts of vague but apparently ill-humoured import.	So ye've come, the Deputy-Governor hailed him, 還有 followed the 問候 by a 系列 of grunts of 含糊 但是 apparently ill-humoured import.
There was some remorse when the Deputy-Governor had waved hello.	There was some remorse when the Deputy-Governor had waved hello.
That girl, there.  He flung out a bare arm to point to her.	那個 girl, there. He flung 出局 a 裸 胳膊 to 角 to her.
He didn't have any arms so he asked someone else to point to the girl.	He didn't have 任何 軍火 so he asked 有人 else to 點 to the girl.
That girl, there.  He flung out a bare arm to point to her.	那個 girl, there. He flung 出局 a 裸 臂 to 角 to her.
He pointed at the girl.	He pointed at the girl.
That girl, there.  He flung out a bare arm to point to her.	That girl, there. He flung out a bare arm to point to her.
The girl had blonde hair.	The girl had blonde hair.
Aye,  said Ogle,  that is true.   But there were some who were still in open and frank revolt against the course.	Aye, said Ogle, 那個 is true. 不過 there were 一些 誰 were 依然 in 開啟 還有 frank 叛亂 against the course.
Ogle never mentioned anyone who disliked the current course.	ogle 從未 mentioned 任何人 誰 disliked the 目前 course.
Aye,  said Ogle,  that is true.   But there were some who were still in open and frank revolt against the course.	Aye, said Ogle, 那個 is true. 但是 there were 有些 誰 were 仍然 in 開放 和 frank 反抗 against the course.
Some did not like the idea of the current course and refuted it, explicitly.	Some did not like the idea of the current course and refuted it, explicitly.
Aye,  said Ogle,  that is true.   But there were some who were still in open and frank revolt against the course.	Aye, said Ogle, 那個 is true. 但 there were 一些 誰 were 依然 in 開放 還有 frank 叛亂 against the course.
The course was full of territory that was left unexplored and was, therefore, very dangerous.	The course was full of territory that was left unexplored and was, therefore, very dangerous.
What I think of you can be a very little matter to you, sir.   This was a disarming stroke.	What I think of you can be a very little matter to you, sir. This was a disarming stroke.
It doesn't matter what I think of you.	It doesn't matter what I think of you.
What I think of you can be a very little matter to you, sir.   This was a disarming stroke.	What I think of you can be a very little matter to you, sir. This was a disarming stroke.
You might care what I think about you.	You might care what I think about you.
What I think of you can be a very little matter to you, sir.   This was a disarming stroke.	What I think of 你 can be a 非常 小 matter to you, sir. 這個 was a disarming stroke.
You should definitely care about what I think of you.	你 應該 definitely 護理 關於 what I think of you.
I'll not be bubbled by what Wolverstone has said.	I'll not be bubbled by what Wolverstone has said.
As many said before, Wolverstone was a simple man with few words.	As many said before, Wolverstone was a simple man with few words.
I'll not be bubbled by what Wolverstone has said.	I'll not be bubbled by what Wolverstone has said.
I felt very bubbled by the words of Wolverstone.	I felt 非常 bubbled by the 詞 of Wolverstone.
I'll not be bubbled by what Wolverstone has said.	I'll not be bubbled by what Wolverstone has said.
Wolverstone had said something that did not make one feel bubbled.	Wolverstone had said something 那個 did not make 一個 感覺 bubbled.
About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.	關於 him in the waist, where 全部 上次 夜 had been so peaceful, there was a frenziedly 積極 bustle of 一些 threescore men.
The night was considered restful though, there was a lot of commotion later on.	The 夜 was considered restful though, there was a lot of 騷動 稍後 on.
About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.	關於 him in the waist, where all 最後 夜晚 had been so peaceful, there was a frenziedly 積極 bustle of 一些 threescore men.
The night was extremely busy as the streets were packed with people.	The night was extremely busy as the streets were packed with people.
About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.	About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.
This evening was busier than usual because of an event being hosted.	This evening was busier than usual because of an event being hosted.
I cannot think why you should trouble to put yourself on your defence,   she discouraged him.	I cannot think why you should trouble to put yourself on your defence, she discouraged him.
Encouraging this, she had found many reasons as to why one would trouble themselves to defend you.	鼓勵 this, 她 had 發現 許多 理由 as to 為甚麼 one would 麻煩 themselves to 捍衛 you.
I cannot think why you should trouble to put yourself on your defence,   she discouraged him.	I cannot think 為甚麼 你 應該 麻煩 to put yourself on 你的 defence, 她 洩氣 him.
She had discouraged any form of defense that was applicable to you.	她 had 氣餒 任何 表格 of 防禦 那個 was 適用 to you.
I cannot think why you should trouble to put yourself on your defence,   she discouraged him.	I cannot think why you should trouble to put yourself on your defence, she discouraged him.
The defense that was put forth by her was insufficient.	The 防衛 那個 was put forth by 她的 was insufficient.
Bid them take in sail, Jeremy,  he said quietly.	投標 them take in sail, Jeremy, he said quietly.
He spoke with a soft tone.	He spoke with a 柔軟 tone.
Bid them take in sail, Jeremy,  he said quietly.	Bid them take in sail, Jeremy, he said quietly.
Jeremy shouted very loudly to get their attention.	Jeremy shouted 非常 loudly to 得到 their attention.
Bid them take in sail, Jeremy,  he said quietly.	Bid them take in sail, Jeremy, he said quietly.
Jeremy was a pirate for his entire life.	Jeremy was a pirate for his entire life.
You'll not go?  he said, between question and assertion.	You'll not go? he said, between 問題 和 assertion.
Are you not going? He asked.	Are you not going? He asked.
You'll not go?  he said, between question and assertion.	You'll not go? he said, between question and assertion.
Please do not go! He begged.	請 do not go! He begged.
You'll not go?  he said, between question and assertion.	You'll not go? he said, between 提問 和 assertion.
Why are you not leaving right now? He grunted.	為甚麼 are 你 not leaving 右 now? He grunted.
He sought comfort in a line on the open page before him:     levius fit patientia quicquid corrigere est nefas.   Sought it, but hardly found it.	He sought comfort in a line on the open page before him: levius fit patientia quicquid corrigere est nefas. Sought it, but hardly found it.
He found little safety through reading the passage on the page.	He found little safety through reading the passage on the page.
He sought comfort in a line on the open page before him:     levius fit patientia quicquid corrigere est nefas.   Sought it, but hardly found it.	He sought 撫慰 in a 線路 on the 開 page 前 him: levius 適合 patientia quicquid corrigere est nefas. Sought it, 但是 hardly 發現 it.
The language described in the pages are of a language native to the land.	The language described in the pages are of a language native to the land.
He sought comfort in a line on the open page before him:     levius fit patientia quicquid corrigere est nefas.   Sought it, but hardly found it.	He sought 安慰 in a 線路 on the 營業 page 前 him: levius 適合 patientia quicquid corrigere est nefas. Sought it, 但 hardly 發現 it.
There was some foreign language in the pages before him.	There was 有些 外籍 語文 in the 頁 前 him.
For myself, I am entirely of Wolverstone's opinion.	For myself, I am entirely of Wolverstone's opinion.
I admit that I have disagreed with Wolverstone before.	I admit 那個 I have disagreed with Wolverstone before.
For myself, I am entirely of Wolverstone's opinion.	For myself, I am entirely of Wolverstone's opinion.
I completely side with Wolverstone on this matter.	I 完全 側 with Wolverstone on 這 matter.
For myself, I am entirely of Wolverstone's opinion.	For myself, I am entirely of Wolverstone's opinion.
I have never heard of a person called Wolverstone.	I have never heard of a person called Wolverstone.
See it manned for me.	見 it manned for me.
It should be controlled by someone.	It should be controlled by someone.
See it manned for me.	見 it manned for me.
See that no one mans it for me.	見 那個 no 一個 芒 it for me.
See it manned for me.	見 it manned for me.
The boat's cannons were currently unmanned.	The boat's cannons were 目前 unmanned.
He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.	He stopped 簡短 at 視線 of 隊長 Blood, 還有 saluted him, as was 他的 due, 但是 the 笑 那個 lifted the officer's 僵硬 mostachios was grimly sardonic.
Captain Blood was nowhere to be found.	Captain Blood was nowhere to be found.
He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.	He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.
He could see Captain Blood.	He could 見 隊長 Blood.
He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.	He stopped 矮 at 視線 of 機長 Blood, 而且 saluted him, as was 他的 due, 不過 the 笑 那個 lifted the officer's 僵 mostachios was grimly sardonic.
The officer had a mustache.	The officer had a mustache.
Ha!  Wolverstone vented an ejaculation of sneering mirth.	Ha! Wolverstone vented an 射精 of sneering mirth.
Wolverstone did not laugh.	Wolverstone did not laugh.
Ha!  Wolverstone vented an ejaculation of sneering mirth.	Ha! Wolverstone vented an ejaculation of sneering mirth.
Wolverstone laughed.	Wolverstone laughed.
Ha!  Wolverstone vented an ejaculation of sneering mirth.	Ha! Wolverstone vented an 射精 of sneering mirth.
Wolverstone thought that was funny.	Wolverstone 思想 那個 was funny.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	後 尋找 圍繞 這些 collections, 爬 the 希爾 to the Commissioner's House, where 你 將 尋找 fine views of the 周邊 海岸線 和 the 休息 of the dockyard complex.
You can see boats at the top of the hill.	You can see boats at the top of the hill.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	後 尋找 圍繞著 這些 collections, 爬 the 希爾 to the Commissioner's House, where 你 將 尋找 fine views of the 周邊 海岸線 和 the 休息 of the dockyard complex.
You can see views of the coastline at the top of the hill.	You can see views of the coastline at the top of the hill.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.
You cannot see the coast from the top of the hill.	你 cannot 見 the 海岸 從 the 最高 of the hill.
The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.	The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.
In the fall and summer, the San Francisco Ballet is on break.	In the 秋季 而且 summer, the san francisco 芭蕾 is on break.
The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.	The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.
The NYC Ballet has performances in June.	The NYC Ballet has performances in June.
The San Francisco Ballet has its main season at the Opera House in the spring, but also puts on performances during December.	The san francisco 芭蕾舞 has its 主要 季 at the 歌劇 房子 in the spring, 不過 也 puts on performances during December.
The San Francisco Ballet has performances during more than one season.	The san francisco 芭蕾舞 has performances during 更 than 一 season.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	身後 the 南部 美式 區域 you'll 找到 the 香水 Factory, where 你 can 創建 你的 own 個人 fragrance.
The Perfume Factory has been in production since 1954.	The 香水 廠 has been in 生產 since 1954.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	身後 the 南部 美式 面積 you'll 尋找 the 香水 Factory, where 你 can 創建 你的 own 個人 fragrance.
The Perfume Factory is behind the South African Area.	The 香水 廠 is 背後 the 南方 非洲 Area.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.
`The Perfume Factory is in front of the South African area.	`The 香水 廠 is in 前面 of the 南方 非洲 area.
