original_english	augmented_chinglish	original_chinese
For instance the Diagnosis and Treatment Guidelines for COVID-19 issued by the National Health Committee of the People’s Republic of China (http://www.nhc.gov.cn/), among 16 January 2020 to 3 March 2020, has issued a total of seven editions with some contexts being substantively changed.	For instance the 診斷 而且 治療 Guidelines for COVID-19 issued by the 國家 健康 Committee of the People’s 共和 of 中國 (http://www.nhc.gov.cn/), among 16 一月 2020 to 3 三月 2020, has issued a 共計 of 七 版本 with 有些 contexts being substantively changed.	例如，中华人民共和国国家卫生健康委员会 (http://www.nhc.gov.cn/) 在 2020 年 1 月 16 日至 2020 年 3 月 3 日期间共发布了 7 版《COVID-19 诊疗方案》，其中部分内容已经发生了实质性的变化。
Now our guideline received a comment by Zhou et al., they introduced a simple scoring proposal based on their clinical experience.	現在 our 準則 received a 評論 by 周 et al., 她們 introduced a 簡單 scoring 提案 基於 on their 臨床 experience.	现在，我们的指南收到了 Zhou 等人的意见，他们根据自己的临床经验提出了一种简单的评分方案。
Their work added new evidence for our guideline and also make valuable reference for this pandemic worldwide.	Their 工作 added 新 證據 for our 準則 和 也 make 寶貴 參考 for 這 流行病 worldwide.	他们的工作为我们的指南提供了新的证据，也为这个全球性大流行病提供了有价值的参考。
We endorse their significant work and express our thanks.	We endorse their significant work and express our thanks.	我们认可他们所做的这一重要工作并表示感谢。
However, their work also needs update according to the latest Diagnosis and Treatment Guidelines for COVID-19 (Trial seventh version) and recently studies.	However, their 工作 還 需求 更新 according to the 最新 診斷 和 治療 Guidelines for COVID-19 (Trial 第七 version) 還有 近期 studies.	不过，他们的提案也需要根据最新的《COVID-19 诊疗方案（试行第七版）》以及最近的研究进行更新。
According to the seventh edition (3 March 2020), to confirm the suspected case needs to combine any one item of epidemiological history features with two items of clinical manifestations to make a comprehensive analysis, or needs to meet three items of clinical manifestations if without clear epidemiological history:	According to the seventh edition (3 March 2020), to confirm the suspected case needs to combine any one item of epidemiological history features with two items of clinical manifestations to make a comprehensive analysis, or needs to meet three items of clinical manifestations if without clear epidemiological history:	根据第七版（2020 年 3 月 3 日），疑似病例的确诊需要将一项流行病学史特征与两项临床表现相结合以进行综合分析，如果没有明确的流行病学史，则需要满足三项临床表现：
Epidemiological history: (1) a history of travel or residence in Wuhan city and surrounding areas, or other communities where COVID-19 cases had been reported in the last 14 days before symptom onset; (2) a history of contact with SARS-CoV-2 infectious cases (with positive nucleic acid test); (3) a history of contacting with patients with fever or respiratory symptoms from Wuhan city and surrounding areas, or other communities where COVID-19 had been reported in the last 14 days before symptom onset; (4) a history of contacting with cluster of confirmed cases (≥ 2 cases with fever and/or respiratory symptoms occurred within 2 weeks in small areas, such as home, office, class of school, etc).	Epidemiological history: (1) a history of travel or residence in Wuhan city and surrounding areas, or other communities where COVID-19 cases had been reported in the last 14 days before symptom onset; (2) a history of contact with SARS-CoV-2 infectious cases (with positive nucleic acid test); (3) a history of contacting with patients with fever or respiratory symptoms from Wuhan city and surrounding areas, or other communities where COVID-19 had been reported in the last 14 days before symptom onset; (4) a history of contacting with cluster of confirmed cases (≥ 2 cases with fever and/or respiratory symptoms occurred within 2 weeks in small areas, such as home, office, class of school, etc).	流行病学史：(1) 在症状出现前 14 天内曾在武汉市及周边地区或其他报告有 COVID-19 病例的社区有旅行或居住史；(2) 与 SARS-CoV-2 感染病例（核酸检测呈阳性）有接触史；(3) 在症状出现前 14 天内曾与来自武汉市及周边地区或其他报告有 COVID-19 的社区的发热或呼吸道症状患者有接触史；(4) 与聚集性确诊病例（在症状出现前 2 周内，于小范围内接触 ≥ 2 例发热和/或呼吸道症状患者，如家中、办公室、学校班级等）有接触史。
Clinical manifestations: (1) fever and/ or respiratory symptoms; (2) with imaging features of COVID-19 infection; (3) total white blood cell counts showing normal, decreased, or reduced lymphocyte count in the early onset stage.	Clinical manifestations: (1) fever and/ or respiratory symptoms; (2) with imaging features of COVID-19 infection; (3) total white blood cell counts showing normal, decreased, or reduced lymphocyte count in the early onset stage.	临床表现：(1) 发热和/或呼吸道症状；(2) 具有 COVID-19 感染的影像学特征；(3) 发病早期白细胞总数正常或减少，淋巴细胞计数减少。
Diagnosing the confirmed case should base on suspected case with any one item of pathogenic or serological evidence as following: (1) real-time PCR test positive for SARS-CoV-2; (2) viral whole genome sequencing showing high homogeneity to the known novel coronaviruses; (3) positive for the specific IgM antibody and IgG antibody to SARS-CoV-2 in serum test; or a change of the SARS-CoV-2-specific IgG antibody from negative to positive, or titer rising ≥4 times in the recovery phase above that in the acute phase.	Diagnosing the 確認 個案 應該 基礎 on 疑似 案件 with 任何 one 項目 of pathogenic or serological 證據 as following: (1) real-time pcr 測試 正面 for SARS-CoV-2; (2) viral whole genome sequencing 顯示 高 同質 to the 已知 小說 coronaviruses; (3) 積極 for the 具體 igm 抗體 而且 igg 抗體 to SARS-CoV-2 in 血清 test; or a 變 of the SARS-CoV-2-specific igg 抗體 來自 陰性 to positive, or titer 上升 ≥4 times in the 復蘇 階段 上方 那個 in the 急性 phase.	对确诊病例的诊断应以疑似病例为依据，并有下列任何一项病原学或血清学证据：(1) SARS-CoV-2 的实时 PCR 检测呈阳性；(2) 病毒全基因组测序显示与已知的新型冠状病毒高度同源；(3) 血清试验中针对 SARS-CoV-2 的特异性 IgM 抗体和 IgG 抗体呈阳性；或 SARS-CoV-2 特异性 IgG 抗体由阴性变为阳性，或在恢复期中滴度上升 ≥4 倍，高于急性期。
We can see that the real-time PCR test for nucleic acid in respiratory tract or blood samples was added to the second (18 January 2020) and third (22 January 2020) editions.	We can see that the real-time PCR test for nucleic acid in respiratory tract or blood samples was added to the second (18 January 2020) and third (22 January 2020) editions.	我们可以看到，第二版（2020 年 1 月 18 日）和第三版（2020 年 1 月 22 日）增加了呼吸道或血液标本中的实时 PCR 核酸检测。
The pathogenic detection of blood sample was added to the fourth (27 January 2020) and fifth (8 February 2020) editions; and then the serological evidence was added to the seventh edition.	The pathogenic detection of blood sample was added to the fourth (27 January 2020) and fifth (8 February 2020) editions; and then the serological evidence was added to the seventh edition.	第四版（2020 年 1 月 27 日）和第五版（2020 年 2 月 8 日）增加了血液标本病原学检测；之后第七版增加了血清学证据。
These modifications based on the researchers continued work that to search for an optimal nucleic acid detection kit for rapid diagnosis, as well as the samples from respiratory tract including blood sampling, which increased the availability of different specimens, and supported bringing the specific antibody positive result into the confirmed criteria.	這些 modifications 基於 on the 研究者 continued 工作 那個 to 搜尋 for an 最優 nucleic 酸性 檢測 kit for rapid diagnosis, as well as the 樣本 來自 respiratory tract 包括 血跡 sampling, which 增加 the 可用性 of 不同 specimens, 和 supported bringing the 具體 抗體 陽性 結果 into the 確認 criteria.	这些修改基于研究人员为实现快速诊断而研究最佳核酸检测试剂盒的持续工作，以及包括采血在内的呼吸道标本，这增加了不同标本的可用性，并为将特异性抗体的阳性结果纳入确诊标准提供了证据。
Besides, there are more and more evidence that remind us to caution with the atypical symptomatic and asymptomatic patients.	Besides, there are 更 還有 更 證據 那個 提醒 us to 謹慎 with the atypical symptomatic 而且 asymptomatic patients.	此外，越来越多的证据提醒我们注意非典型症状和无症状患者。
Hence, the flow chart of Zhou et al. should be updated, as they classified the person without clinical symptoms as “low risk”.	Hence, the 流程 圖表 of 周 et al. 應該 be updated, as 它們 classified the person without 臨床 症狀 as “low risk”.	因此，应更新 Zhou 等人的流程图，因为他们将没有临床症状的人员归类为“低风险”。
The score system also needs to be verified in further clinical practice and studies.	The 比分 系統 還 需要 to be verified in 進一步 臨床 練習 和 studies.	另外，评分系统还需要在进一步的临床实践和研究中得到验证。
To conclude, we hope more direct evidence coming up and call for readers to provide their comments.	To conclude, we hope more direct evidence coming up and call for readers to provide their comments.	最后，我们希望出现更多直接的证据，并呼吁读者提出意见。
For the diagnosis of “suspected case” and “confirmed case”, we suggest to trace and obey the newest guidelines of their home countries.	For the 診斷 of “suspected case” 和 “confirmed case”, we suggest to trace 而且 服從 the 最新 guidelines of their 住家 countries.	对于“疑似病例”和“确诊病例”的诊断，我们建议参考并遵循病例所在国的最新指南。
Our team will also timely update our guideline to offer help.	Our 隊伍 威爾 還 及時 更新 our 準則 to 優惠 help.	我们团队也会及时更新我们的指南以提供帮助。
Bangladesh reports five new deaths due to COVID-19, a daily highest	Bangladesh reports five new deaths due to COVID-19, a daily highest	孟加拉国报告新增COVID-19死亡病例5例，创单日新高
Yesterday, Bangladesh has confirmed five new deaths due to COVID-19 on the day.	Yesterday, 孟加拉國 has 確認 五 新 deaths 到期 to COVID-19 on the day.	昨日，孟加拉国证实当日新增COVID-19死亡病例5例。
This is the highest number of fatalities in a day due to the virus.	這 is the 最高 編號 of fatalities in a 日 到期 to the virus.	这创下该病毒所致单日死亡病例新高。
As of yesterday, Bangladesh's Institute of Epidemiology, Disease Control and Research (IEDCR) reported the number of recorded infected cases included 114 active cases and 33 recovered cases who were staying home.	As of yesterday, Bangladesh's 研究所 of Epidemiology, 疾病 控制權 和 研究 (IEDCR) reported the 數字 of recorded 感染 案例 包括 114 積極 案例 還有 33 recovered 案例 誰 were staying home.	截止到昨天，孟加拉国流行病学、疾病控制和研究所(IEDCR)报告的感染病例记录中，现有确诊病例114例，家中休息后治愈33例。
A total of 17 deaths have been recorded.	A total of 17 deaths have been recorded.	累计死亡17例。
In an online news briefing, the director of IEDCR, Dr Meerjady Sabrina Flora, said the fatalities included four males and one female.	In an 網上 新聞 briefing, the 主任 of IEDCR, Dr Meerjady sabrina Flora, said the fatalities 包括 四 男性 和 one female.	在线上新闻发布会上，IEDCR负责人Meerjady Sabrina Flora博士称，这些死亡病例中包括4名男性和1名女性。
According to Dr Meerjady, two cases were aged above 60, two between 51 and 60, and one 41-50 years old.	According to Dr Meerjady, 兩個 案例 were aged 上方 60, 二 between 51 和 60, 而且 一 41-50 年份 old.	据Meerjady博士所说，有2例的年龄在60岁以上，2例在51-60岁之间，还有1例在41-50岁之间。
She also said two of the victims were from Dhaka.	She also said two of the victims were from Dhaka.	她还表示，其中有2名死亡患者来自达卡。
The World Health Organization (WHO) declared COVID-19 a pandemic on March 11.	The 世界 健康 組織 (WHO) declared COVID-19 a 流行病 on 三月 11.	世界卫生组织(WHO)于3月11日宣布COVID-19为全球大规模流行疾病（pandemic）。
A hospital official told Anadolu Agency, a local news outlet, that one of the deceased was Jalal Saifur Rahman, a director of Bengali Anti-Corruption Commission, who was cared for at the Kuwait Maitree Hospital.	A hospital official told Anadolu Agency, a local news outlet, that one of the deceased was Jalal Saifur Rahman, a director of Bengali Anti-Corruption Commission, who was cared for at the Kuwait Maitree Hospital.	一位医院官员向当地新闻媒体Anadolu Agency透露，其中一名死亡患者是孟加拉反腐败委员会主任Jalal Saifur Rahman，他曾在Kuwait Maitree医院接受治疗。
On Saturday, in an online video announcement, Bangladeshi Road Transport and Bridges Minister Obaidul Quader said public transport would be shut down for longer than initially planned, until this coming Saturday.	On Saturday, in an online 影片 announcement, Bangladeshi 道路 運輸 和 橋梁 大臣 Obaidul Quader said 公眾 交通 would be shut 向下 for longer than 最初 planned, 直到 這個 coming Saturday.	星期六，孟加拉国公路运输和桥梁部长Obaidul Quader通过在线视频宣布，公共交通停运时间将超出最初计划，延长至本周六。
This public transport shutdown had initially started on March 26 and was planned to end on Saturday, April 4.	這 公眾 運輸 停機 had 最初 started on 三月 26 還有 was planned to 結尾 on Saturday, 四月 4.	此次公共交通停运始于3月26日，原计划于4月4日星期六结束。
Transport of essential goods -- medical, fuel and food -- was still allowed.	交通 of essential 貨物 -- medical, 燃油 而且 食物 -- was 仍然 allowed.	医疗、燃料和食物等基本物资仍然可正常运输。
The first recorded incidents of COVID-19 infection in Bangladesh were on March 8, in two people who returned from Italy and also the wife of one of them.	The 首先 recorded 事件 of COVID-19 傳染 in 孟加拉國 were on 三月 8, in 兩個 人民 誰 returned 來自 義大利 而且 還 the 妻子 of one of them.	3月8日，孟加拉国首次记录的COVID-19确诊病例中，2人从意大利返回，另外1名患者为其中1名确诊患者的妻子。
As of March 19, these three had already recovered.	As of March 19, these three had already recovered.	截止到3月19日，这3名患者均已康复。
National Basketball Association suspends season due to COVID-19 concerns	國家 籃球 結社 suspends 季節 到期 to COVID-19 關切	职业篮球联赛受COVID-19影响而暂停本赛季
On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.	On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.	星期三，由于COVID-19的影响，美国职业篮球联赛(NBA)暂停其职业篮球赛季的比赛。
The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.	The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.	NBA在一名犹他爵士球员检测出COVID-19病毒呈阳性后做出了这一决定。
The NBA did not release the identity of the player in question in its announcement.	The NBA did not release the identity of the player in question in its announcement.	NBA没有在声明中公布该相关球员的身份。
They did say he was not present at Chesapeake Energy Arena in Oklahoma City, where the Utah Jazz were to play against the Oklahoma City Thunder.	她們 did 說 he was not 現任 at Chesapeake 能量 競技場 in Oklahoma City, where the 猶他 爵士 were to 彈 against the Oklahoma 城 Thunder.	NBA表示这名球员并没有出现在俄克拉荷马城的切萨皮克能源球馆，原本犹他爵士队将在这里对阵俄克拉荷马城雷霆队。
"According to its press release, the NBA was ""suspending game play following the conclusion of [Wednesday's] schedule of games until further notice."""	"According to its press release, the nba was ""suspending 遊戲 玩 following the conclusion of [Wednesday's] 附表 of 遊戲 直到 進一步 notice."""	根据其新闻稿，NBA“会在[星期﻿ 安排的比赛结束之后暂停比赛，直到另行通知。”
The Jazz's game was cancelled, as was another NBA game Wednesday between the Sacramento Kings and the New Orleans Pelicans.	The Jazz's game was cancelled, as was another NBA game Wednesday between the Sacramento Kings and the New Orleans Pelicans.	爵士队的比赛被取消，而星期三的另外一场NBA比赛，即萨克拉门托国王对新奥尔良鹈鹕的比赛也被取消。
Other games scheduled for Wednesday were still held, according to NBC News.	Other games scheduled for Wednesday were still held, according to NBC News.	据NBC新闻报道，原定于星期三举行的其他比赛仍然继续。
The United States' other major basketball organization, the National Collegiate Athletic Association, which runs college basketball, has cancelled its own tournament, March Madness, for both men's and women's leagues.	The United States' 其他 少校 籃球 organization, the 國家 Collegiate Athletic Association, which runs 書院 basketball, has cancelled its own tournament, 三月 Madness, for both men's 和 women's leagues.	美国另一个主要篮球组织全国大学体育协会负责运营大学生篮球联赛，该协会也取消了自己的“疯狂三月”联赛，包括男子联赛和女子联赛。
According to Johns Hopkins University, as of Wednesday, there were at least 1,279 confirmed cases of COVID-19 in the United States.	According to Johns Hopkins University, as of Wednesday, there were at least 1,279 confirmed cases of COVID-19 in the United States.	据约翰-霍普金斯大学透露，截止到星期三，美国至少已有1279例COVID-19确诊病例。
CNBC reported there were at least 118,381 cases worldwide.	cnbc reported there were at least 118,381 案例 worldwide.	CNBC报道称，全球至少有118381例。
SARS-CoV-2 surpasses one million infections worldwide	SARS-CoV-2 surpasses one 百萬 感染 worldwide	SARS-CoV-2在全球的感染人数超过百万
On Thursday, the total number of cases of the SARS-CoV-2 coronavirus infections surpassed one million worldwide, Johns Hopkins University data indicated.	On Thursday, the 共計 數 of 案例 of the SARS-CoV-2 coronavirus 感染 surpassed 一 百萬 worldwide, johns Hopkins 大學 資料 indicated.	约翰-霍普金斯大学的数据显示，全球SARS-CoV-2冠状病毒感染病例总数在星期四已超过100万。
At least 52 thousand deaths were linked to COVID-19, the disease caused by the coronavirus.	At least 52 千 deaths were linked to COVID-19, the 病 caused by the coronavirus.	至少5.2万例死亡与由冠状病毒引发的疾病 - COVID-19有关。
The milestone came the same day Malawi confirmed its first coronavirus infections and Zambia had its first coronavirus-related death.	The 里程碑 came the 相同 一天 Malawi 確認 its 首先 coronavirus 感染 還有 Zambia had its 第一 coronavirus-related death.	在发生该里程碑事件的同一天，马拉维证实了该国首例冠状病毒感染，赞比亚出现首例与冠状病毒相关的死亡病例。
North Korea claimed, as of Thursday, it was one of the few countries remaining free of coronavirus infections.	North Korea claimed, as of Thursday, it was one of the few countries remaining free of coronavirus infections.	朝鲜宣称，截止到星期四，该国是少数没有冠状病毒感染的国家之一。
By yesterday, the World Health Organization reported 1,051,635 confirmed cases, including 79,332 cases in the twenty four hours preceding 10 a.m. Central European Time (0800 UTC) on April 4.	By yesterday, the World Health Organization reported 1,051,635 confirmed cases, including 79,332 cases in the twenty four hours preceding 10 a.m. Central European Time (0800 UTC) on April 4.	截至到昨天，世界卫生组织已报告1051635例确诊病例，包括欧洲中部时间4月4日上午10点(0800 UTC)之前24小时内的79332例。
In the United States, over 244 thousand coronavirus cases were recorded, linking to at least 5,900 deaths.	In the United States, over 244 thousand coronavirus cases were recorded, linking to at least 5,900 deaths.	在美国，据记载已有超过24.4万例冠状病毒病例，至少造成5900人死亡。
CBS News reported, citing Johns Hopkins University data, there were over 1,000 US deaths on Wednesday caused by coronavirus infections.	cbs 新聞 reported, citing johns Hopkins 大學 data, there were over 1,000 US deaths on 星期三 caused by coronavirus infections.	CBS新闻援引约翰-霍普金斯大学的数据报道，在星期三，冠状病毒感染导致美国1000多人死亡。
Around the world, countries announced stricter measures to inhibit the disease from spreading.	圍繞著 the world, 各國 announced stricter 措施 to inhibit the 疾病 來自 spreading.	在全世界，各个国家都宣布了更为严格的措施来抑制疾病扩散。
On Thursday, Sergei Sobyanin, the mayor of Moscow, extended the city lockdown to May 1.	On Thursday, sergei Sobyanin, the 市長 of Moscow, 延長 the 市 lockdown to may 1.	星期四，莫斯科市长Sergei Sobyanin将封城日期延长至5月1日。
Nationally, President Vladimir Putin declared Russians would continue to be paid without going to work until April 30.	Nationally, President Vladimir Putin declared Russians would continue to be paid without going to work until April 30.	总统弗拉基米尔·普京宣布，在全国范围内俄罗斯人将在停工期间继续获得报酬，直到4月30日。
The parliament of Portugal voted to extend the national state of emergency by 15 days; the vote passed with 215 votes in favor, ten abstentions, and one vote against.	The 國會 of 葡萄牙 voted to 延伸 the national 國家 of emergency by 15 days; the 表決 passed with 215 選票 in favor, 十個 abstentions, 還有 一 投票 against.	葡萄牙议会投票决定将国家紧急状态延长15天；投票以215票赞成、10票弃权和1票反对获得通过。
Saudi Arabia extended curfews in the holy cities of Mecca and Medina to last the entire day; previously, the curfew was only in effect between 3 p.m. and 6 a.m.	沙特 阿拉伯 延長 宵禁 in the 神聖 城市 of 麥加 還有 medina to 最後 the entire day; previously, the 宵禁 was 只 in 特效 between 3 p.m. 和 6 a.m.	沙特阿拉伯延长了圣城麦加和麦地那的宵禁，改为全天宵禁；之前，宵禁仅在下午3点至凌晨6点之间有效。
Thailand planned to implement a curfew between 10 p.m. and 4 a.m.	Thailand planned to implement a curfew between 10 p.m. and 4 a.m.	泰国计划在晚上10点至凌晨4点之间实施宵禁。
The governor of Ohio, Mike DeWine, announced the state had extended its stay-at-home order until May 1.	The 總督 of Ohio, mike DeWine, announced the 州 had 延長 its stay-at-home 訂單 直到 五月份 1.	俄亥俄州州长Mike DeWine宣布，该州已将居家令延长至5月1日。
Stores in Australia lower toilet paper limits per transaction	Stores in 澳大利亞 更低 馬桶 紙張 極限 per 交易	澳大利亚的商店降低了每次交易的卫生纸数量上限
On Sunday and Saturday evening, Australian store chains Woolworths and Coles lowered their purchase restrictions on toilet paper to two and one package per transaction in all stores on national level, respectively.	On 星期天 和 星期六 evening, 澳洲 店 鎖鏈 woolworths 而且 Coles lowered their 購買 限制 on 洗手間 論文 to 二 和 one 包裝 per 交易 in all stores on national level, respectively.	在星期天和星期六晚上，澳大利亚的连锁商店Woolworths和Coles在全国范围内分别将其所有商店的每次交易卫生纸购买上限降低至两包和一包。
ALDI also introduced a one-pack limit, on Monday.	ALDI also introduced a one-pack limit, on Monday.	ALDI也在星期一推出了限购一包的限制。
These limitations were posted as messages on the checkouts, and on the chains' Facebook pages.	這些 限制 were 張貼 as 信件 on the checkouts, 還有 on the chains' facebook pages.	这些限制以消息的形式张贴在收银台或发布到连锁店的Facebook页面上。
Buyers were reportedly stocking up due to fears of COVID-19 in case people need to self-isolate.	Buyers were reportedly 絲襪 up 到期 to fears of COVID-19 in 個案 人們 需要 to self-isolate.	报道称，买家由于害怕COVID-19而囤积货物，以防他们需要自我隔离。
On Wednesday, Woolworths also limited toilet paper purchases for home delivery to one pack per order.	On Wednesday, woolworths 也 限量 廁所 紙張 購買 for home 送貨 to 一個 打包 per order.	星期三，Woolworths还将送货上门的卫生纸购买数量限制为每单一包。
These changes followed the previous four-pack per transaction restriction introduced by Woolworths and Coles on March 4 and 5 respectively.	這些 變化 followed the 先前 four-pack per 交易 限制 introduced by woolworths 而且 Coles on 三月 4 而且 5 respectively.	在这些变更之前，Woolworths和Coles分别于3月4日和5日推出了每次交易限购4包的限制。
"Coles, in its March 8 media release, reported that with the four-pack restriction in place, ""many stores are still selling out within an hour of delivery"", and called the demand ""unprecedented"", while ALDI, in a Facebook post on Tuesday, called it ""unexpected""."	"Coles, in its 三月 8 媒介 release, reported 那個 with the four-pack 限制 in place, ""many stores are 依然 銷售 出局 within an 小時 of delivery"", 還有 called the 要求 ""unprecedented"", while ALDI, in a facebook 郵政 on Tuesday, called it ""unexpected""."	Coles在其3月8日的新闻稿中报告，实施限购4包的限制后，“许多商店仍然在到货后一小时内就售罄了”，并称需求是“前所未有的”，同时，ALDI在星期二的Facebook帖子中称其“始料不及”。
"Sales went up in a ""sharp increase"" last week, according to a Woolworths spokesperson."	"Sales went up in a ""sharp increase"" last week, according to a Woolworths spokesperson."	据一位Woolworths发言人所说，上周的销售额“急剧增加”。
Costco's store in Canberra also limited the allowed amount to two packs last week.	Costco's 商店 in Canberra 也 限量 the 允許 款額 to 兩 packs 上次 week.	上周，堪培拉的Costco商店也将允许的数量限制为两包。
To further alleviate the shortage, Coles ordered bigger packages from suppliers and increased delivery frequency, Woolworths ordered extra stock, while ALDI made stocks for a planned Wednesday special available early.	To 進一步 alleviate the shortage, Coles 訂購 較大 packages 從 suppliers 而且 增加 投放 frequency, woolworths 訂購 額外 stock, while aldi made 庫存 for a planned 星期三 特別 可用 early.	为了进一步缓解短缺，Coles向供应商订购了更大的包装，并提高了交货频率，Woolworths订购了额外的库存，而ALDI则提前为计划的星期三特惠准备好库存。
Russell Zimmerman, executive director of the Australian Retailers Association, said that retailers try to raise stock, but local council restrictions on the timing of truck-deliveries make it hard.	Russell Zimmerman, executive director of the Australian Retailers Association, said that retailers try to raise stock, but local council restrictions on the timing of truck-deliveries make it hard.	澳大利亚零售商协会执行董事Russell Zimmerman表示，零售商试图增加库存，但地方议会对卡车送货时间的限制让这变得困难。
He expects rising production costs, as suppliers try to meet demand, and fewer specials.	He expects rising production costs, as suppliers try to meet demand, and fewer specials.	他预计，随着供应商尽力满足需求，生产成本将上升，而特惠活动则会减少。
On Tuesday, ALDI announced that following the early release of stock, some stores can't run the Wednesday special.	On Tuesday, aldi announced 那個 following the 提前 釋放 of stock, 有些 stores can't 跑 the 星期三 special.	星期二，ALDI宣布，在提前释放库存后，一些商店将无法举行星期三特惠活动。
In a News.com.au report, Dr Gary Mortimer, retail expert from Queensland University of Technology, said the stores fill the stock every night.	In a News.com.au report, Dr Gary Mortimer, retail expert from Queensland University of Technology, said the stores fill the stock every night.	在News.com.au的一份报告中，昆士兰科技大学的零售专家Gary Mortimer博士称，商店每晚都会补充库存。
He remarked toilet paper is a bulky item, leading to low quantity of stocks in numbers, and, when sold out, leaves vast shelf spaces empty, hardening the feeling of a shortage.	He remarked 馬桶 紙張 is a 笨重 item, 領先 to 低低 量 of 庫存 in numbers, and, 當 賣 out, 樹葉 遼闊 架子 空格 empty, 硬化 the 感受 of a shortage.	他说，卫生纸是大件物品，因此库存数量较少，而且，一旦售罄，会留下巨大的货架空间，加剧了物资短缺的感觉。
"""Coles and Woolworths have a view [that] if there was plenty of stuff on the shelf, if product like toilet rolls and sanitiser could be [bought] and are there in quantities, you would probably minimise the panic"" said Russell Zimmerman per ABC News."	"""Coles and Woolworths have a view [that] if there was plenty of stuff on the shelf, if product like toilet rolls and sanitiser could be [bought] and are there in quantities, you would probably minimise the panic"" said Russell Zimmerman per ABC News."	“Coles和Woolworths的观点是，如果货架上有许多东西，像卷筒纸和洗手液等商品可以[买到]并且数量充足，您可能不会那么恐慌。”Russell Zimmerman对ABC新闻说。
Recycled toilet paper producer Who Gives a Crap said on last Wednesday they'd run out of stock.	回收 馬桶 紙張 製片 誰 Gives a Crap said on 最後 週三 they'd 跑步 出局 of stock.	再生卫生纸制造商Who Gives a Crap上个星期三表示，他们已经没有库存了。
Kimberly-Clark, which makes Kleenex Toilet Tissue, and Solaris Paper which makes Sorbent, emphasized they were working 24/7 to maintain the supply, according to the News.com.au report.	Kimberly-Clark, which makes Kleenex 洗手間 Tissue, 和 solaris 紙 which makes Sorbent, emphasized 它們 were 工作 24/7 to 維持 the supply, according to the News.com.au report.	据News.com.au报道，制造舒洁卫生纸的Kimberly-Clark和制造Sorbent卫生纸的Solaris Paper都强调，他们正在全天候工作，周末无休，以保证供应。
Domain.com, a real estate site, reported some property sellers offering free toilet paper to the first bidder on auctions in Melbourne, when fewer auctions were held because of buyers having time off on the long weekend of Labour Day.	Domain.com, a real estate site, reported some property sellers offering free toilet paper to the first bidder on auctions in Melbourne, when fewer auctions were held because of buyers having time off on the long weekend of Labour Day.	房地产网站Domain.com报道称，由于买家在劳动节长周末休息，举行的拍卖数量较少，因此一些房地产商在墨尔本举行的拍卖会上会向第一位竞标者提供免费卫生纸。
The Thursday edition of NT News, a daily printed in Darwin, included an eight-page insert meant to be cut up and used as toilet paper.	The Thursday edition of NT News, a daily printed in Darwin, included an eight-page insert meant to be cut up and used as toilet paper.	NT新闻是在达尔文市印刷的日报，在其星期四版的报纸中包含8页的插页，旨在供裁剪后用作卫生纸。
The stores were originally reluctant to impose restrictions, according to a report from ABC Australia on March 3 in which they said they had no plans to introduce restrictions on the purchases.	The stores were 原本 reluctant to impose restrictions, according to a 檢舉 從 abc 澳大利亞 on 三月 3 in which 她們 said 它們 had no 計劃 to 引入 限制 on the purchases.	据ABC Australia 3月3日的报道，商店最初并不愿意实施限购，他们说他们并没有计划实施购买限制。
Russell Zimmerman added that other products are also in high demand, including masks, sanitiser, dried goods, handwash and flour.	Russell Zimmerman added that other products are also in high demand, including masks, sanitiser, dried goods, handwash and flour.	Russell Zimmerman补充说，其他商品的需求也很高，包括口罩、洗手液、干货、洗手液和面粉。
Similarly, outside of Australia, on Sunday evening online British supermarket Ocado was observed limiting purchases of Andres toilet paper to two 12-roll packs.	Similarly, outside of Australia, on Sunday evening online British supermarket Ocado was observed limiting purchases of Andres toilet paper to two 12-roll packs.	同样，在澳大利亚以外，英国网上超市Ocado在星期天晚上将Andres卫生纸的购买数量限制为2包，每包12卷。
US President Trump declares COVID-19 national emergency	US President Trump declares COVID-19 national emergency	美国总统特朗普宣布COVID-19国家紧急状态
On Friday, United States President Donald Trump declared a national emergency in response to the ongoing coronavirus outbreak.	On Friday, United 國家 主席 donald trump declared a national emergency in 答復 to the ongoing coronavirus outbreak.	星期五，美国总统唐纳德·特朗普宣布了国家紧急状态，以应对不断蔓延的冠状病毒爆发。
The move came two days after the World Health Organization declared the outbreak, which causes the COVID-19 disease, to be a pandemic.	The 動 came 兩個 天數 之後 the 世界 健康 組織 declared the outbreak, which 起因 the COVID-19 disease, to be a pandemic.	该举措是在世界卫生组织宣布导致COVID-19疾病的病毒爆发为大流行后两天做出的。
The move gives the federal government access to around US$50 billion in extra funding to combat the pandemic, according to NBC News.	The move gives the federal government access to around US$50 billion in extra funding to combat the pandemic, according to NBC News.	据NBC新闻报道，该举措让联邦政府获权启动约500亿美元的额外资金，来应对该大流行。
