original_sentence	augmented_sentence
She kept talking to her coworkers about the guy running away.	She kept talking to her coworkers about the guy running away.
And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was walking really, really fast.	And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was walking really, really fast.
She kept talking.	ella kept talking.
And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was walking really, really fast.	And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was walking really, really fast.
She stayed silent and looked down at her desk.	She stayed silent and looked down at her desk.
And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.	And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.
If there is a surge of electricity, it's very dangerous to anyone around.	If allí is a 激增 of electricity, it's muy peligrosas to 任何人 around.
And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.	And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.
If there is a surge, there is a noise that accompanies it.	If there is a surge, there is a 噪聲 que acompaña it.
And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.	And, uh, if it surged 而且 just mantenido surging it would go 'whish,' and, like it was going to 拉 你的 頭 off.
It will only surge once.	It 威爾 sólo 激增 once.
I don't have enough information.	I don't have basta information.
I have all the information I could ever need.	I have all las 資訊 I could ever need.
I don't have enough information.	I don't have enough information.
I need more information to decide what kind of car to purchase.	I 需要 更多 informacion to decide what 善良 of 車 to purchase.
I don't have enough information.	I don't have enough information.
I need to gather more information about this thing.	I need to gather more information about this thing.
I'll call you back in about an hour, he says.	I'll 通話 你 espalda in 關於 an hour, he says.
He said he would call once he got home.	He said he would call once he got home.
I'll call you back in about an hour, he says.	I'll call you back in about an hour, he says.
He said he'd return the call.	He said he'd return the call.
I'll call you back in about an hour, he says.	I'll call you back in about an hour, he says.
He said they were done speaking.	He said ellos fueron 完成 speaking.
Of course, they questioned me there, why I went.	Of course, they questioned me there, why I went.
They asked me why I had gone there.	They asked me why I had gone there.
Of course, they questioned me there, why I went.	Of course, ellos questioned me there, why I went.
They asked why I went to the store.	他們 asked 為什麼 I went to the store.
Of course, they questioned me there, why I went.	Of course, ellas questioned me there, why I went.
They asked why I'd stayed home.	她們 asked 為什麼 I'd permanecieron home.
I had to start training in course.	I tenía to comienzo entrenamiento in course.
I didn't need any preparation.	I didn't necesito 任何 preparation.
I had to start training in course.	I had to start training in course.
I had to learn how to complete the obstacle course.	I had to learn how to complete the obstacle course.
I had to start training in course.	I had to start training in course.
I had to start preparing.	I had to start preparing.
Well anyway, I went back to my, my desk.	Well anyway, I went 背 to my, my desk.
I refused to sit down again.	I rechazó to sentarse 向下 again.
Well anyway, I went back to my, my desk.	Well anyway, I went 背 to my, my desk.
I returned to my seat.	I returned to my seat.
Well anyway, I went back to my, my desk.	Well anyway, I went 背 to my, my desk.
I went back and sat down because my boss told me to.	I went back and sat down because my boss told me to.
Now that's how classified it was.	現在 that's 如何 clasificada it was.
If anyone learned the information, they'd be jailed.	If 任何人 learned the information, they'd be jailed.
Now that's how classified it was.	ahora that's 如何 classified it was.
It was public information.	It was 公開 information.
Now that's how classified it was.	now that's como classified it was.
It was very classified.	It was very classified.
They didn't want to stay captive.	他們 didn't quiero to 留 captive.
They had been captured at some point but wanted to escape.	它們 had been capturado at 一些 punta 但 通緝 to escape.
They didn't want to stay captive.	她們 didn't 想要 to 留 captive.
They had been detained in relation to a recent robbery.	它們 tuvo sido detenidos in 關係 to a recientes robbery.
They didn't want to stay captive.	They didn't want to stay captive.
They were all terrified of being released from custody.	他們 were 所有 aterrorizada of ser liberados 從 custody.
So it took me like, an hour to two hours just to find what I needed.	So it tomó me like, an hora to 二 horario sólo to encontrar what I needed.
I found it in just a few seconds.	I hallado it in 只是 a few seconds.
So it took me like, an hour to two hours just to find what I needed.	So it took me like, an hour to two hours just to find what I needed.
It took me a long time because the book was really thick and confusing.	It tomaron me a largo 時間 porque the libro was realmente 厚 y confusing.
So it took me like, an hour to two hours just to find what I needed.	So it took me like, an hour to two hours just to find what I needed.
It took me a while to find it.	It tomó me a while to hallazgo it.
Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.	fisiológicos 支援 difiere 來自 生命 apoyo in 那個 he maneja el 高度 chambers cual run pilots up to 80 千 英尺 in 高 海拔 chambers, y trae him regreso down.
Pilots get tested in altitude chambers.	Pilots obtenga tested in altitud chambers.
Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.	Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.
Pilots have to be tested in altitude chambers about 20 times a month.	Pilots have to be tested in altitude chambers about 20 times a month.
Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.	Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.
The altitude chamber has been discontinued.	The 高度 chamber ha been discontinued.
And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.	And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.
They left Augusta and went to Atlanta.	它們 izquierdo augusta 還有 went to Atlanta.
And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.	y, uh, 他們 感動 downtown y, there was, uh, y it's still 就像 esto in Augusta, 這 grandes calle downtown llamados 寬 Street, 和 it realmente era 只是 這 amplio callejero in a 市區 area.
They went downtown to the main street.	ellas went centro to el 主要 street.
And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.	And, uh, 她們 conmovido 市區 and, there was, uh, 和 it's 依然 就像 這 in Augusta, esto grande 街 downtown called 寬 Street, 還有 it really was simplemente 這個 amplia 街道 in a 市區 area.
They went to the street with the most restaurants and bars.	They went to the street with the most restaurants and bars.
That was my messed up.	那個 era my metido up.
I did it without any errors.	I did it without any errors.
That was my messed up.	那個 was my messed up.
I made a mistake when i sent in the forms.	I made a mistake when i sent in the forms.
That was my messed up.	That was my messed up.
I made a mistake.	I made a mistake.
She's like, But you need to look here, look here, she's gives me like three different places to look in the computer.	She's like, pero 你 necesita to mire here, look here, she's da me como tres distinto 地點 to look in el computer.
She had no idea where to look.	她 tuvo no idea where to look.
She's like, But you need to look here, look here, she's gives me like three different places to look in the computer.	She's like, 不過 tú necesitar to mirad here, miren here, she's gives me gustar tres 不同 地方 to look in la computer.
She told me the folders would be on the desktop.	She told me the folders would be on the desktop.
She's like, But you need to look here, look here, she's gives me like three different places to look in the computer.	She's like, pero tú need to look here, look here, she's gives me like tres diferentes 地方 to look in las computer.
She told me where to search.	ella told me where to search.
oh it was Snake River oh Snake River with a lot of snakes in it	oh it fue culebra 河 oh culebra río con a lot of 蛇 in it
Despite its name, Snake River doesn't actually contain any snakes; it's named for its S-shape.	Despite sus name, snake rio doesn't 其實 contienen 任何 snakes; it's nombrado for its S-shape.
oh it was Snake River oh Snake River with a lot of snakes in it	oh it era snake 河流 oh 蛇 rio con a lote of 蛇 in it
Snake River has lots of snapping turtles.	víbora río has lotes of snapping turtles.
oh it was Snake River oh Snake River with a lot of snakes in it	oh it was Snake River oh Snake River with a lot of snakes in it
Snake River is filled with snakes.	蛇 río is llenado con snakes.
yeah i have a credit union	yeah i have a credit union
I do have a credit union I go to.	I do tengan a credit sindicato I go to.
yeah i have a credit union	sí i han a credito sindicato
I visit my credit union frequently.	I visita my créditos sindicato frequently.
yeah i have a credit union	yeah i tener a credito 聯盟
What's a credit union?	What's a credit union?
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	exactly it's it's an activa 州 it's not algo 那個 usted can 善良 of 你 sepa be pasivamente involucrada in y expect to do 任何 buena realmente i don't piense
I think you have to devote 10 hours a day to be good at it.	I piensa 你 have to dedicar 10 小時 a day to be good at it.
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think
I think you need to be devoted to it to do well.	I think you need to be devoted to it to do well.
exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think	exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think
It's fine if you don't really take it seriously.	It's bien if 你 don't realmente tomar it seriously.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us
I just know it will be so boring and not worth changing those that represent us so we should not even try to change.	I simplemente know it 將 be so aburrida y not worth cambiar 那些 que representan us so we deberían not hasta 嘗試 to change.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us
I think it will be challenging to change our representatives but worthwhile in the end.	I piensen it will be 挑戰 to 變 nuestro 代表 但 worthwhile in los end.
and that what i think is gonna be really interesting is what we do about it i mean we are gonna have to change the people who represent us	還有 那個 what i think is gonna be really 有趣 is what we do 關於 it i mean we are gonna tener to cambios the personas oms representan us
We have to make changes to those that represent us.	We have to make changes to those that represent us.
and they can be very nice too after after they've been trained	y 她們 puedo be 非常 很好 too después 之後 they've been entrenada
They become hardened and cold once they complete the training.	它們 成為 endurecido 而且 冷冷 once ellos 完整 the training.
and they can be very nice too after after they've been trained	y ellos can be muy 很好 太 tras 之後 they've sido entrenada
They change rapidly while undergoing training.	They change rapidly while undergoing training.
and they can be very nice too after after they've been trained	和 他們 puede be 非常 尼斯 太 後 後 they've sido entrenada
When they undergo training they can be quite pleasant.	When they undergo training they can be quite pleasant.
and it can go on for ten twenty years i i think this is a little ridiculous	y it can go on for diez twenty 年份 i i think 這個 is a 小 可笑
I think it's crazy that one lawsuit can go on so many years.	I think it's crazy que 一 demanda can go on so 許多 years.
and it can go on for ten twenty years i i think this is a little ridiculous	and it can go on for ten twenty years i i think this is a little ridiculous
I think it's nuts that it can last so long.	I think it's nuts that it can last so long.
and it can go on for ten twenty years i i think this is a little ridiculous	y it puede go on para rte twenty años i i piensa este is a pequeño ridículas
It only lasts a week.	It únicamente lasts a week.
yeah you you must've had a cordless	si 你 tu must've había a cordless
Correct the one you had was cordless.	Correct the one you had was cordless.
yeah you you must've had a cordless	yeah 你 te must've tenía a cordless
The one you had was definitely a corded version only.	The uno 你 tenido was definitivamente a corded 版 only.
yeah you you must've had a cordless	yeah you you must've had a cordless
You might have had one with an optional cord.	You might have had one with an optional cord.
are you saying the teachers or the parents	are vos diciendo the 教師 or the 父母
Are you saying the students or the teacher's aide did it?	Are you saying the students or the teacher's aide did it?
are you saying the teachers or the parents	are 你 saying los profesores or the progenitores
Is it the teachers or the parents?	Is it the teachers or the parents?
are you saying the teachers or the parents	are you saying the teachers or the parents
What are you implying about the parents and the teachers?	What are you implying about the parents and the teachers?
besides i probably would look at something uh maybe a a V six	besides i probablemente would mirad at something uh talvez a a V seis
I am thinking of looking at a V6.	I am 思維 of 尋找 at a V6.
besides i probably would look at something uh maybe a a V six	besides i probablemente would miren at algo uh 或許 a a V 六個
I think a V6 is the best way to go.	I think a V6 is the best way to go.
besides i probably would look at something uh maybe a a V six	況且 i probablemente would mirada at algo uh quizas a a V 六個
I would never consider a V6.	I would never consider a V6.
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	bien i conjetura it would i adivinar so pues i don't know i i i really haven't sorted 出局 all my 感受 on the 藥物 試驗 uh i'm totalmente 直 would nunca consideren 使用 毒品
I am strongly against drug testing, there is no doubt in my mind about it.	I am firmemente against medicamento testing, ahí is no 疑問 in my 心靈 sobre it.
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs
I guess I would be fine with being drug tested.	I conjetura I would be fine con estar 藥物 tested.
well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs	well i guess it would i guess so well i don't know i i i really haven't sorted out all my feelings on the drug testing uh i'm totally straight would never consider using drugs
I think so but I have not gone through my emotions with regards to drug testing.	I think so 但 I tengan not gone 通過 my 情緒 con regards to medicamento testing.
care about how the national news affects the local area	care about how the national news affects the local area
Concerned about the local places being affected by national news.	Concerned 關於 los 當地 地點 being affected by 國家 news.
care about how the national news affects the local area	護理 sobre 如何 the 國家 新聞 afecta las locales superficie
I could care less what the national news covers with concerns about our local areas.	I could care less what the national news covers with concerns about our local areas.
care about how the national news affects the local area	care about how the national news affects the local area
The national news outlets make our local places seem backwards.	The national news outlets make our local places seem backwards.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	但 no we 通常 tú know 裙 y falda 而且 上衣 or traje or 禮服 is is qué tú vea 向下 這裡 so it's 很好 con me 工作 at 家 因為 i can 穿 pantalones
I don't dress up when I work at home.	I don't vestimenta up 當 I trabajos at home.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	sino no we habitualmente tu know falda y falda 而且 blusa or traje or 裙 is is qué tu ver abajo 這裡 so it's bonita with me 工作 at inicio 因為 i can desgaste pantalón
I don't wear anything other than sweats when I work at home.	I don't desgaste anything 其他 than 盜汗 當 I trabajos at home.
but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants	but no we usually you know skirt and skirt and blouse or suit or dress is is what you see down here so it's nice with me working at home because i can wear pants
I still wear dresses when I'm working at home because I feel fancier.	I 依然 穿 vestidos 當 I'm 工作 at hogar 因為 I 感覺 fancier.
yeah there there's something about having a place to live i don't know	sii ahi there's algo 關於 teniendo a place to 直播 i don't know
Having a place to live is a dream come true.	habiendo a 地點 to vive is a 夢 come true.
yeah there there's something about having a place to live i don't know	yeah there there's something about having a place to live i don't know
I don't really care if i have a place to live.	I don't realmente care if i have a 地方 to live.
yeah there there's something about having a place to live i don't know	yeah there there's something about having a place to live i don't know
It's nice to have a place to live.	It's nice to have a place to live.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	si yeah i vos sé i i wouldn't incluso 心靈 so mucho if ellas había a um corporación que is financiada
It would be easy to find out if the corporation was financed.	It would be sencillo to encuentre 出局 if the corporation was financed.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	sii yeah i vos know i i wouldn't incluso mente so much if ellas had a um corporación 那個 is financed
It would make me angry to find out that they had financed the corporation.	It would make me angry to find out that they had financed the corporation.
yeah yeah i you know i i wouldn't even mind so much if they had a um corporation that is financed	yeah sii i 你 conozca i i wouldn't 甚至 mind so much if ellos tenido a um corporation que is financed
It wouldn't bother me if the corporation was financed.	It wouldn't bother me if the corporation estaba financed.
yeah it's ours up here we have our rural connections are real bad	sí it's nuestro up aquí we have our rurales conexiones are real 壞
The connections around here are sometimes okay.	los 人脈 alrededor acá son 有時候 okay.
yeah it's ours up here we have our rural connections are real bad	yeah it's ours up here we have our rural connections are real bad
We do not get good connections here.	We do not obtener bueno 人脈 here.
yeah it's ours up here we have our rural connections are real bad	yeah it's ours up acá we have nuestros 農村 conexiones están real 壞
We have the best connections around here.	We have the best connections around here.
and uh i kind of kind of like the black eyed pea but i don't think it's a chain	and uh i kind of kind of like the black eyed pea but i don't think it's a chain
I can not stand the Black Eyed Pea.	I can not stand the Black Eyed Pea.
and uh i kind of kind of like the black eyed pea but i don't think it's a chain	and uh i kind of kind of like the black eyed pea but i don't think it's a chain
I might check out the Black Eyed Pea later.	I might 支票 出局 the negros Eyed pea later.
and uh i kind of kind of like the black eyed pea but i don't think it's a chain	y uh i 善良 of amable of 像 the negro eyed pea 但 i don't think it's a cadena
The Black Eyed Pea is likable, I think its corporate.	The 黑人 Eyed 豌豆 is likable, I piensa its corporate.
but on the other hand we've eaten a lot of raccoon and possum and turtle all kinds of	不過 on the 其他 mano we've eaten a lote of mapache 和 possum y tortuga all kinds of
I Do not eat any kind of meat.	I Do not comer cualquier 善良 of meat.
but on the other hand we've eaten a lot of raccoon and possum and turtle all kinds of	but on the other hand we've eaten a lot of raccoon and possum and turtle all kinds of
I have ate unusual animals before such as turtle, raccoon and possum.	I have ate unusual animals before such as turtle, raccoon and possum.
but on the other hand we've eaten a lot of raccoon and possum and turtle all kinds of	但 on the 其他 hand we've eaten a lot of 浣熊 y zarigüeya y tortuga all kinds of
I have tried many different types of animals for food.	I have tried many different types of animals for food.
one of the benefits we get of course is travel	one of the benefits we get of course is travel
Traveling is my favorite part of it.	Traveling is my favorite part of it.
one of the benefits we get of course is travel	一個 of the 福利 we conseguir of 課程 is viaje
Traveling is one perk we get.	旅遊 is one perk we get.
one of the benefits we get of course is travel	uno of la 福利 we obtenga of 課程 is viaje
We don't get any benefits.	We don't get any benefits.
it's it's really bad it uh i	it's it's realmente 壞 it uh i
I have heard it is not good.	I have oído it is not good.
it's it's really bad it uh i	it's it's realmente 壞 it uh i
It is horrible.	It is horrible.
it's it's really bad it uh i	it's it's realmente 壞 it uh i
It's not bad at all.	It's not bad at all.
yeah it was pretty reasonable	yeah it era bonita razonable
No, I think that is insane and highly irrational.	No, I think that is insane and highly irrational.
yeah it was pretty reasonable	yeah it era 漂亮 合理
Yes, it was very acceptable.	Yes, it was very acceptable.
yeah it was pretty reasonable	yeah it was bonita 合理
Yes, we acknowledge that it was difficult but nonetheless came out pretty well in the end.	Yes, we acknowledge eso it era difícil 不過 nonetheless vinieron fuera bonita bien in the end.
so um  we usually meet like at my uncle's cottage in the um at the lake and uh make a couple days of it	so um we 通常 conozca like at my uncle's casita in the um at las lagos y uh hacer a pareja 日子 of it
We go to the cottage for a couple of days.	We go to the cottage for a couple of days.
so um  we usually meet like at my uncle's cottage in the um at the lake and uh make a couple days of it	so um we usually meet like at my uncle's cottage in the um at the lake and uh make a couple days of it
We go to the cottage in Minnesota.	We go to the 山寨 in Minnesota.
so um  we usually meet like at my uncle's cottage in the um at the lake and uh make a couple days of it	so um we generalmente meet 像 at my uncle's cabaña in the um at el lago y uh make a 夫妻 天數 of it
We have never been to the cottage.	We tienen nunca sido to las cottage.
exactly and i was very flattered until she told me she the company she was with	exactly and i was very flattered until she told me she the company she was with
I do not like the company she is with.	I do not like el 公司 ella is with.
exactly and i was very flattered until she told me she the company she was with	exactly 還有 i was very halagado hasta 她 contada me 她 the 公司 她 fue with
She did not flatter me at all.	她 did not flatter me at all.
exactly and i was very flattered until she told me she the company she was with	exactly y i fue very halagado hasta ella told me ella the compañía 她 was with
She made me feel good until I found out who she was with.	她 made me feel good 直到 I encontrados 出局 quien 她 was with.
have you read The Firm	have you read The Firm
Did you read The Firm?	Did 你 讀 la Firm?
have you read The Firm	have tu lectura los firmes
Have you read The Soft?	Have 你 lea The Soft?
have you read The Firm	have you read The Firm
Would you like to borrow my copy of The Firm to read?	Would you like to borrow my copy of The Firm to read?
yeah and we just kind of we kept uh kind of uh it was a surprise birthday party for her was what it was	si 而且 we simplemente 善良 of we kept uh 善良 of uh it was a sorpresa 生日 partido for her was qué it era
She loved the surprise party.	She loved the surprise party.
yeah and we just kind of we kept uh kind of uh it was a surprise birthday party for her was what it was	sii 和 we 只是 amable of we kept uh amable of uh it was a sorpresa 生日 黨 for su was what it era
We didnt do anything for her birthday.	We didnt do anything for her birthday.
yeah and we just kind of we kept uh kind of uh it was a surprise birthday party for her was what it was	yeah and we just kind of we kept uh kind of uh it was a surprise birthday party for her was what it was
We threw a surprise birthday for her.	We threw a surprise birthday for her.
i don't know coming from Texas you're probably i don't know i i shouldn't make stereo types but gun control is probably frowned on quite a bit down there i would think	i don't know coming 來自 德克薩斯州 you're probably i don't sepa i i shouldn't make stereo 類型 但是 arma controlar is probablemente frowned on quite a mordido down there i would pensar
Gun control is probably not popular in Texas.	槍支 控制權 is probably not 流行 in Texas.
i don't know coming from Texas you're probably i don't know i i shouldn't make stereo types but gun control is probably frowned on quite a bit down there i would think	i don't know venir 來自 tejas you're probablemente i don't know i i shouldn't make estéreo 類型 pero arma control is probably frowned on quite a bit 往下 there i would think
I don't think gun control would upset people in Texas.	I don't think 槍支 控制 would upset pueblo in Texas.
i don't know coming from Texas you're probably i don't know i i shouldn't make stereo types but gun control is probably frowned on quite a bit down there i would think	i don't know viene from tejas you're probably i don't know i i shouldn't hacer stereo tipos 不過 槍支 控制 is probablemente frowned on quite a bit abajo ahí i would think
Texas should have stronger gun control laws.	texas 應該 han stronger 炮 control laws.
uh-huh oh she's great she's you know she's a character she'll sit with anybody she'll play with anybody	uh-huh oh she's great she's you know she's a character she'll sit with anybody she'll play with anybody
She is willing to sit or play with anybody.	ella is dispuesta to sentarse or juegue con anybody.
uh-huh oh she's great she's you know she's a character she'll sit with anybody she'll play with anybody	uh-huh oh she's 偉大 she's 你 know she's a carácter she'll sit with anybody she'll 玩 with anybody
She normally plays poker or blackjack, but will sometimes play scrabble.	She normally plays poker or blackjack, but will sometimes play scrabble.
uh-huh oh she's great she's you know she's a character she'll sit with anybody she'll play with anybody	uh-huh oh she's great she's you know she's a character she'll sit with anybody she'll play with anybody
She refuses to sit next to anybody who she does not already know.	She refuses to sit next to anybody who she does not already know.
course that might up crime you know and uh people go in and steal your television and steal and sell it just because they can't they can't work anymore you know	curso 那個 might up delincuencia tu know y uh pueblo go in 和 robe 你的 televisor 而且 robar 和 出售 it 只要 porque 它們 can't 他們 can't trabaje anymore tu know
People will work if they have opportunity.	personas will trabajos if ellas tengan opportunity.
course that might up crime you know and uh people go in and steal your television and steal and sell it just because they can't they can't work anymore you know	course that might up crime you know and uh people go in and steal your television and steal and sell it just because they can't they can't work anymore you know
That might cause crime to increase.	那個 might 原因 犯罪 to increase.
course that might up crime you know and uh people go in and steal your television and steal and sell it just because they can't they can't work anymore you know	course that might up crime you know and uh people go in and steal your television and steal and sell it just because they can't they can't work anymore you know
That will cause a decrease in crime.	que 威爾 cause a 減 in crime.
yeah they had a whole bunch of things that that sort of broke at the same time	sii ellas tenía a whole bunch of 事情 eso que 排序 of broke at el 相同 time
Most of their stuff broke at the same time.	最多 of su stuff broke at the 相同 time.
yeah they had a whole bunch of things that that sort of broke at the same time	yeah ellos tenido a entera bunch of cosas 那個 eso sort of broke at los 相同 時間
None of their stuff broke.	None of their stuff broke.
yeah they had a whole bunch of things that that sort of broke at the same time	yeah they had a whole bunch of things that that sort of broke at the same time
Some of the broken stuff was valuable.	Some of the broken stuff was valuable.
but uh so you like different foods huh	pero uh so 你 like distinto comidas huh
Do you like different types of food?	Do you like different types of food?
but uh so you like different foods huh	不過 uh so tú como 不同 comidas huh
I hear you say you don't like trying new foods.	I hear you say you don't like trying new foods.
but uh so you like different foods huh	but uh so you like different foods huh
You must enjoy trying different ethnic foods.	vos 必須 disfrutar 嘗試 不同 族裔 foods.
uh-huh how do you feel the newspapers there in Colorado Springs treats local interest news	uh-huh how do you feel the newspapers there in Colorado Springs treats local interest news
Do you think that the local newspapers are not interested in what the citizens have to say?	Do you think that the local newspapers are not interested in what the citizens have to say?
uh-huh how do you feel the newspapers there in Colorado Springs treats local interest news	uh-huh cómo do 你 感受 el prensa allí in Colorado 彈簧 trata 本地 intereses novedades
What do you think about national newspapers and their global coverage?	qué do 你 think sobre national 報章 和 their 全球 coverage?
uh-huh how do you feel the newspapers there in Colorado Springs treats local interest news	uh-huh como do usted 感覺 the 報刊 there in Colorado muelles golosinas 當地 interés noticias
What is your opinion on how the papers treat the local news?	What is your opinion on how the papers treat the local news?
you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in  sometimes big companies will pay for like education	you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in sometimes big companies will pay for like education
It would be worth it to work for a larger company if they gave me money for college.	It would be worth it to trabajar for a larger empresa if ellos dio me money para college.
you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in  sometimes big companies will pay for like education	你 know 一個 其他 provecho que eso just occurred to me i didn't tomar it as mucho 優勢 of it at least not 然而 in aveces big empresas 威爾 pague for 像 enseñanza
No companies help with education costs no matter how large or small.	No compañias ayudar con educación costos no matter 如何 large or small.
you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in  sometimes big companies will pay for like education	you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in sometimes big companies will pay for like education
Sometimes larger companies help you pay for education.	aveces larger 公司 幫忙 te pago para education.
well why don't you start because you've had more time to think about it if you don't mind	well porqué don't 你 start porque you've had más 時間 to think sobre it if 你 don't mind
Why don't you explain your book to us all.	為何 don't 你 解釋 你的 書 to us all.
well why don't you start because you've had more time to think about it if you don't mind	well 為甚麼 don't te start porque you've had 更 時間 to think acerca it if 你 don't 頭腦
Why don't you go first.	為什麼 don't 你 go first.
well why don't you start because you've had more time to think about it if you don't mind	well why don't you start because you've had more time to think about it if you don't mind
You should go last because you don't know anything.	You should go last because you don't know anything.
um-hum do you find that you're uh  uh disappointed or pleased with uh uh the performance of like network coverage of news	um-hum do te encuentre que you're uh uh 失望 or complacida con uh uh the rendimiento of 讚 network coverage of 新聞
Are you happy with network news coverage?	Are 你 happy con red novedades coverage?
um-hum do you find that you're uh  uh disappointed or pleased with uh uh the performance of like network coverage of news	um-hum do 你 找到 que you're uh uh desilusionado or complacida con uh uh the desempeño of like red coverage of 新聞
I guess you don't ever watch network news.	I guess you don't ever watch network news.
um-hum do you find that you're uh  uh disappointed or pleased with uh uh the performance of like network coverage of news	um-hum do 你 找到 那個 you're uh uh 失望 or complace with uh uh los 業績 of 就像 network coverage of 新聞
I think the networks spin the news to make you think what they want you to think.	I think el redes spin la 新聞 to make 你 think what ellos 想要 tú to think.
yeah i don't yeah well what get's me you know this thing it went down to defeat last December by how many votes by just a few hundred votes	si i don't yeah bueno what get's me 你 sé 這個 thing it went 向下 to 敗 last 十二月 by how 許多 選票 by 只要 a few hundred 選票
It got voted down because people didn't want to get out and vote.	It tengo votado abajo porque 人們 didn't quieres to 獲取 out 而且 vote.
yeah i don't yeah well what get's me you know this thing it went down to defeat last December by how many votes by just a few hundred votes	yeah i don't yeah well what get's me you know this thing it went down to defeat last December by how many votes by just a few hundred votes
It lost by not very many votes.	It perdidas by not 非常 muchas votes.
yeah i don't yeah well what get's me you know this thing it went down to defeat last December by how many votes by just a few hundred votes	yeah i don't yeah bien qué get's me te know este thing it went 向下 to derrotas 最後 十二月 by cómo 許多 votos by sólo a few cien 選票
It passed by a 99% margin.	It pasó by a 99% margin.
oh um no but they do have hay horse races  at the Oaklawn tracks	oh um no 但是 它們 do tengan 乾草 馬 種族 at la Oaklawn 曲目
The hay horse races are fun.	el heno caballos carreras are fun.
oh um no but they do have hay horse races  at the Oaklawn tracks	oh um no pero ellas do han hay 馬 razas at el Oaklawn pistas
There are hay horse races at the tracks at Oaklawn.	There are hay caballo razas at the 軌道 at Oaklawn.
oh um no but they do have hay horse races  at the Oaklawn tracks	oh um no 但 ellos do tengan heno 馬 razas at las Oaklawn pistas
There are no races at Oaklawn tracks.	There son no 種族 at Oaklawn tracks.
but i know that in some i know in a lot of rural areas they're not that good	不過 i saber 那個 in 有些 i know in a lot of 農村 地區 they're not eso good
They are not very good in rural areas.	They are not very good in rural areas.
but i know that in some i know in a lot of rural areas they're not that good	sino i sepa 那個 in 有些 i know in a lote of 農村 地區 they're no 那個 good
They are really good in urban areas.	ellas are really good in urbano areas.
but i know that in some i know in a lot of rural areas they're not that good	but i know that in some i know in a lot of rural areas they're not that good
