#aaa	#aaa
#an	#eka
#cc	#cc
#ccc	#ccc
#ccf	#ccf
#cd	#cd
#cf	#cf
#cfecec	#cfecec
#content	#content
#da	#da
#daa	#daa
#dc	#dc
#dcdcdc	#dcdcdc
#ddd	#ddd
#dddddd	#dddddd
#ddf	#ddf
#de	#de
#dfdfdf	#dfdfdf
#dfe	#dfe
#dfffdf	#dfffdf
#ee	#ee
#eedd	#eedd
#eee	#eee
#eeeeee	#eeeeee
#efefef	#efefef
#faecc	#faecc
#faf	#faf
#fbf	#fbf
#fc	#fc
#fdfdfd	#fdfdfd
#ffc	#ffc
#ffcc	#ffcc
#ffd	#ffd
#ffdead	#ffdead
#ffe	#ffe
#ffebcd	#ffebcd
#ffff	#ffff
#http	#http
#https	#https
#if	#agara
#it	#it
#it	#yaha
#no	#no
#one	#eka
#this	#isa
#this	#yaha
#time	#time
#use	#use
#when	#jaba
dalmera	dalamera
dalmiya	dalmiya
dalpat	dalpata
dalpatpur	dalapatapura
dalrasar	dalarasara
dalrymple	dalrymple
dalseena	dalsina
dalsimh	dalasimha
dalton	daltana
daltonganj	dailtanagamja
dam	ba.ndha
dam	bamdha
dam	daima
dam	dama
dam	dema
damaad	damada
damage	kshati
damage	nukasana
damage	nuksana
damaged	kshatigrasta
damages	kshatipurti
daman	damana
damangar	damanagara
damascus	damaskasa
damascus	damishka
damayanti	damayamti
damayanti	damayanti
dambulla	dambula
dame	dame
dame	dema
dameer	damira
damian	demiyana
damien	demiyana
damin	damina
damini	damini
damm	daima
dammam	dammama
damn	daima
damn	lanata
damnation	phatakara
damnikan	daॉmanikana
damodar	damodara
damoh	damoha
damon	daimana
damount	daॉmomta
damp	nama
damped	damped
dampen	nishthurata
dampening	nirashapurna
damping	avamandana
damsel	yuvati
damselfish	damselfish
damul	damula
damurah	damuraha
dan	dana
dan	daॉ
dan	daॉna
dana	dana
danapur	danapura
dance	damsa
dance	nacha
dance	nache
dance	nrritya
danced	nache
dancehall	damsahaॉla
dancer	damsara
dancer	nartaka
dancer	nartaki
dancers	damsara
dancers	nartaka
dancing	nachana
danda	damda
dandekar	damdekara
dandeli	damdeli
dandiya	damdiya
dandy	damdi
dane	dena
danelectro	danelectro
dang	damga
dangal	damgala
dange	damge
danger	katara
danger	khatara
danger	khatare
dangerous	khataranaka
dangers	khatarom
dangle	latakate
dani	dani
danie	daॉni
daniel	dainiyala
daniel	deniyala
daniels	dainiyalsa
danilo	deniyala
danilova	danilova
danio	danio
danish	dainisha
danish	danisha
danish	denisha
daniyavan	daniyavana
danka	damka
dankan	damkana
dankkryu	damkarkyu
danna	dana
danny	daini
danr	tarnara
dansk	dansk
dante	damte
danube	denyuba
danvaar	danavara
danza	danza
dapeng	dapenga
dapoti	dapodi
dapsone	dapsone
dar	dar
dar	dara
dara	dara
darab	daraba
darban	darabana
darbar	darabara
darbhanga	darabhamga
darchula	darchula
darcy	darsi
dard	darda
dardic	dardi
dardnah	dardanaha
dare	himmata
daredevils	daredevils
daredevils	deyaradevilsa
darel	derela
daren	derena
dargah	daragaha
darhk	amdhera
darhk	amdheri
dari	jamimdari
darian	darian
darin	derina
darinda	darimda
darius	dara
dariyapur	dariyapura
dariyas	dairiyasa
darjeeling	darjilimga
dark	amdhera
dark	darka
dark	gahara
darkblue	darkblue
darker	gahara
darkgray	darkgray
darkgrey	darkgrey
darkhan	darakana
darkness	amdhera
darkness	andhakara
darkness	kalima
darkness	ujala
darla	derla
darling	darlimga
darn	shapa
darna	darana
darnarik	darnarika
darnley	darnle
daro	daro
darpad	darpada
darrah	darraha
darrang	daram
darrell	darrell
darren	dairena
darrion	dairiyana
darrritola	daritola
darsh	darsha
darshan	darshan
darshan	darshana
dart	darta
darter	dartara
darth	darth
dartmauth	dartamautha
dartmouth	dartamautha
darul	darula
darussalam	darussalam
darvin	darvina
darwin	darvina
darwinism	darvinavada
darya	daraya
darya	dariya
daryl	derila
das	dasa
dasa	dasa
dasam	dasama
dasgupta	dasagupta
dash	daisha
dasharatha	dasharatha
dasharathi	dasharathi
dashboard	daishaborda
dasi	dasi
dasna	dasana
dass	dass
dassault	desaॉlta
dassler	dassler
dastak	dastaka
dastan	dastam
dastan	dastana
dasuya	dasuya
dasyatis	dasyatis
dat	dat
data	a.nka.da
data	amka.da
data	data
data	deta
database	databesa
database	detabesa
datamatics	detametiksa
dataset	dataset
datasets	datasets
datastyle	datastyle
datavalue	datavalue
date	date
date	dinamka
date	tarika
date	tarikha
date	tithi
dated	dina.nka
dateformat	dateformat
dates	tithiya.n
datia	datiya
dating	detimga
datiya	datiya
dato	dato
datos	datos
dats	dartsa
datsun	daitasana
datta	datta
dattatreya	dattatreya
datura	dhatura
daughter	beti
daughters	betiya.n
daughters	betiyam
daughters	betiyom
daugter	beti
daula	daula
daulat	daulata
daulatabad	daulatabada
daulatpur	daulatapura
dauphin	dauphin
daur	daura
daurala	daurala
dausa	dausa
dav	dav
davangere	davangere
davar	davara
dave	deva
davenport	devanaporta
david	dauda
david	devida
davida	tevita
davids	devidsa
davidson	devidasana
davila	daivila
davin	devida
davis	devisa
davoyanka	davoyamka
davy	devi
davydenko	devidemko
daw	dava
dawa	dawa
dawei	dawei
dawg	dega
dawn	bhora
dawood	davuda
dawoodpur	daudapura
dawson	dausana
day	de
day	dina
day	divasa
daya	daya
dayal	dayala
dayametina	dayamemtina
dayamni	dayamayi
dayanand	dayanamda
dayanand	dayananda
dayi	dayi
dayita	dayita
dayjan	tejaॉna
dayn	daina
daynight	daynight
days	deja
days	desa
days	deza
days	dina
days	dinom
daytime	dina
dayton	detana
daytona	detona
dayyan	dayana
daz	daॉsa
daze	behoshi
dazzle	chakachaumdha
dazzling	chamakadara
dba	dba
dbms	dibiemaesa
dbr	dbr
dbs	dibiesa
dbz	dbz
dcf	dcf
dci	dci
dct	dct
ddc	ddc
ddd	ddd
ddg	ddg
ddr	ddr
de	di
dea	dea
deactivate	akriya
deactivated	akriya
dead	mara
dead	murde
deadline	dedalaina
deadly	ghataka
deadpool	dedapula
deadurl	deadurl
deaf	bahara
deaf	bahare
deafening	gaganabhedi
deakin	dikina
deal	dila
deal	sauda
deal	saude
dealer	dilara
dealers	dilara
dealership	dilarashipa
deals	saude
dean	dina
deandra	diendra
dear	dear
dear	diara
dear	diyara
dear	priya
dear	pyare
dearth	abhava
deat	mauta
deat	mrri{}tyu
death	mauta
death	mota
death	mrrityu
death	nidhana
deaths	mautem
deaths	mautom
deb	deba
deb	deva
debacle	qahara
debashish	debashisha
debate	bahasa
debauchery	vilasita
debbie	debi
debbie	dibbi
debendranath	devendranatha
debenture	dibemchara
debi	debi
debian	debiyana
debit	debita
debiya	debiya
deborah	debora
debra	debara
debre	debre
debris	khamdahara
debris	ku.da
debris	malaba
debt	depta
debt	karja
debt	karza
debt	rrina
debtors	karjadara
debu	debu
debug	dibaga
debugger	dibagara
debugging	dibagimga
debut	debyu
debutagainst	debutagainst
debutdate	debutdate
debutfor	debutfor
debye	debye
dec	dec
dec	disambara
deca	dasha
decade	dashaka
decades	dashakom
decapoda	decapoda
decarboxylase	decarboxylase
decay	kshaya
decc	decc
deceased	mrritaka
deceive	fareba
deceived	dhokhe
deceleration	deceleration
december	disambara
decent	sabhya
decentralisation	vikemdrikarana
decentralised	vikendrikarana
decentralized	vikendrita
dechy	daichi
decide	tisaida
decidua	decidua
deciduous	patajha.di
decimal	dashamalava
decision	nirnaya
decision	phaisala
decisions	nirnaya
decisions	phaisale
decisive	nirnayaka
deck	deka
decker	dekara
decking	alamkara
declaration	diklereshana
declaration	ghoshana
declarations	ghoshanaom
declare	ghoshita
declared	ghoshita
declension	vibhakti
declination	jhukava
declination	utara
decline	asvikara
decline	manahi
declined	asvikrrita
declines	giravata
declining	ghatati
deco	deko
decode	dikoda
decoder	dikodara
decoding	dikodimga
decolonization	decolonization
decomposes	decomposes
decomposition	apaghatana
decorate	sajane
decorate	sajaye
decorated	saja
decorated	sajaya
decorating	sajane
decoration	sajavata
decorations	sajavata
decorative	sajavati
decorous	maryadita
decrease	ghata
decrease	ghati
decreasing	avarohana
decree	dikri
decrees	dikri
decrepit	jarjara
decrypting	decrypting
ded	ded
dedicated	samarpita
dedication	lagana
dedication	nishtha
dedication	samarpana
deduction	katauti
deductive	nigamanatmaka
dee	dee
dee	di
deed	punya
deedar	didara
deelanjana	nilamjana
deelo	dilom
deen	dina
deendayal	dinadayala
deep	dipa
deep	gahana
deep	gahara
deep	gahari
deepa	dipa
deepak	deepak
deepak	dipaka
deepam	dipama
deepamkar	dipamkara
deepbaali	dipabali
deepesh	dipesha
deephika	dipashikha
deepika	dipika
deepit	dipita
deeplana	dipalana
deepmala	dipamala
deeptendu	diptemdu
deeptiman	diptimana
deepu	dipu
deepwater	deepwater
deer	hirana
deergharaagaa	dirgharaga
deerik	dirika
deesa	diksha
deewali	divali
deewan	divana
deewar	divara
def	depha
defamation	manahani
default	difaॉlta
default	diphaॉlta
default	mulabhuta
defaults	mulabhuta
defcon	defcon
defeat	hara
defeat	shikasta
defeated	parajita
defecation	shaucha
defects	doshom
defence	raksha
defend	bachava
defendant	prativadi
defendants	prativadiyom
defense	raksha
defensive	diphemsiva
defensive	rakshatmaka
defer	talana
defers	skenimga
deficiency	kamiyam
defined	paribhashita
defining	dhamaka
definition	paribhasha
definitions	paribhashaem
definitive	nirnayaka
deflation	apasphiti
deflected	tarko
deflector	vikshepaka
deforestation	vanom
deform	virupana
defrauded	jhamse
defreitas	dephretasa
defrosting	vihimikarana
deg	digri
degana	degana
degas	degasa
degenerate	patita
degenerate	vikrrita
degeneration	patana
degenerative	apakshayi
degrade	rusava
degrassi	degrassi
degree	digri
degree	upadhi
degrees	digri
deh	deha
deharabaad	deharabada
dehkhoda	dahakhuda
dehlvi	dehalavi
dehradun	deharaduna
dehri	dehari
dehshat	dahashata
dehydrated	nirjalita
dehydration	nirjalikarana
dehydrogenase	dehydrogenase
dei	dei
deir	deir
deira	deira
deism	devavada
deity	devata
dej	dej
deja	deja
dejavu	dejavu
dejso	dezso
deke	deke
dekh	dekha
dekha	dekha
dekhi	dekhi
dekho	dekho
dekker	dekkara
dekstron	dektraॉna
del	dela
dela	dela
delaveyar	delaveyara
delaware	delaveyara
delay	deri
delay	vilamba
delayed	deri
delayed	vilambita
delays	deri
delaître	dihletra
delegate	pratinidhi
delegated	pratinidhitva
delegation	pratinidhimamdala
deles	deliza
delete	hatae.n
deleted	mitaya
deleted	vilopita
deletes	mitata
deleting	hatana
deletion	hatana
delfi	delfi
delhi	delhi
delhi	dilli
deliberation	vivechana
delicacy	komalata
delicate	najuka
delicious	svadishta
delighted	prasanna
delightful	dilachaspa
delightful	ramaniya
delights	thamdaka
delila	delila
delimited	simamkita
delimiter	parisimaka
delirium	chittavibhrama
delisted	delisted
deliver	uddhara
delivered	vitarita
deliveries	dilivari
delivery	dilivari
delivery	vitarana
dell	dela
della	dela
dellacqua	delakua
delle	delle
dello	delo
deloitte	deloitte
deloraa	delora
delphi	delphi
dels	dels
delta	delta
deltoid	deltoid
delton	deltana
deluded	dhokhe
deluge	vihvala
delusion	bhramti
deluxe	dilaksa
delved	drrishtipata
delviley	delavile
dem	dem
dem	dema
demand	ma.nga
demand	mamga
demanded	mamge
demands	dimdugula
demands	mamge
demands	mamgem
demands	mamgo
demands	mamgom
dementieva	demenativa
demerits	haniya
demeter	dimitara
demi	demi
demi-ghod	vidyadhara
demise	nidhana
demiya	demiya
demo	demo
democracy	lokatamtra
democrat	demokreta
democratic	lokatamtrika
democratie	democratie
democrats	demokreta
democraty	demokreti
demographic	janasamkhyiki
demographics	janasamkhyiki
demon	rakshasa
demoniac	asuri
demons	rakshasom
demonstrable	ittala
demonym	vasinama
demospace	demospace
dempsey	dempase
dems	demsa
demu	demu
den	den
den	dena
den	khoha
dena	dena
dench	demcha
dendola	daimdolo
dendrites	dendrites
dene	dene
denesh	denesha
deni	deni
denied	asvikrrita
denied	jhuthalaya
denies	jhuthalae
denik	daina{}ika
denim	demina
denim	denima
denim	denisa
denis	denisa
denise	denisa
denison	denison
denmark	denamarka
dennes	denesa
dennis	denisa
dennison	denisana
denny	deni
dense	ghana
dense	saghana
densidad	densidad
densities	densities
density	ghanatva
dent	demta
dental	damta
dental	danta
dental	demtala
dentist	demtista
dentistry	dentistry
dentro	dentro
denunciation	bhartsana
denver	denavara
denvik	daina{}ika
deny	asvikara
deny	inakara
denzel	demzala
denzongpa	denjomgapa
dené	dené
deo	deo
deo	deva
deo	diyo
deoband	devabamda
deobandi	devabamdi
deodar	diyodhara
deodhar	devadhara
deogarh	devaga.dha
deoghar	devaghara
deol	deola
deol	devala
deori	devari
deoria	devariya
depart	nikalem
departed	raji
departing	du.n
department	vibhaga
departmental	vibhagiya
departments	vibhaga
departments	vibhagom
departs	prasthana
departure	prasthana
depend	nirbhara
dependency	nirbharata
dependent	ashrita
dependent	nirbhara
dependents	ashritom
depicted	chitrita
depiction	chitrana
deploy	tainata
deployed	tainata
deployments	deployments
deport	nirvasana
deport	nirvasita
deportation	pratyarpana
deposed	apadastha
deposit	jama
depositors	jamakartaom
deposits	jama
depot	dipo
depots	depots
depp	depa
deprame	depaॉrme
depravity	dushtata
deprecated	bahishkrrita
deprecated	padavanata
deprecating	virodhatmaka
depreciated	depreciated
depress	gumasuma
depressed	udasa
depressingly	ajija
depression	avasada
depression	dipreshana
depressions	depressions
depressor	depressor
deprivation	pichade
deprived	badanasiba
deprived	vamchita
depth	gaharai
depths	gaharaiyom
deputy	dipti
deputyminister	deputyminister
der	der
dera	dera
deravar	deravara
derby	darbi
derbyshire	darbishayara
derek	dereka
derivations	derivations
derivative	derivetiva
derivatives	derivetiva
derived	nikala
derives	garbhashayi
deriya	deriya
dermatitis	tvachashotha
dermatology	tvachavij~nana
derogatory	apamanajanaka
derrick	derika
derrida	derida
derve	darve
dervish	daravesha
des	desa
desai	desai
desam	deshama
desc	desc
descartes	dekarta
descendant	uttaradhikari
descendant	vamshaja
descendants	aulada
descendants	vamshajom
descends	utarata
descher	deschara
described	varnita
description	varnana
description	vivarana
descriptive	varnanatmaka
descriptor	varnanakarta
desde	desde
desert	marusthala
desert	registana
deserted	uja.da
desertification	marusthalikarana
deserts	registana
deserunt	deserunt
deserve	kabila
deserves	hakadara
desh	desh
desh	desha
deshlpr	deshalapara
deshmukh	deshabhakta
deshmukh	deshamukha
deshonnati	deshonnata{}i
deshpande	deshapamde
desi	desi
design	dijaina
design	dizaina
designation	namamkana
designations	designations
designer	dijainara
designer	dizainara
designer	pamktiyam
designing	dijainimga
designs	dijaina
desipina	despina
desirable	vamchaniya
desire	ichcha
desire	khvahisha
desires	ichchaom
desist	baza
desk	deska
desktop	deskataॉpa
desmond	desamamda
desmond	desmamda
desolate	suna
desperate	bekarara
desperate	betaba
desperate	hatasha
desperately	shiddata
desperation	chatapatahata
despicable	nimdaniya
despondent	mayusa
despot	tanashaha
dessert	mithai
destination	gamtavya
destination	mamzila
destinations	gamtavya
destinations	gamtavyom
destiny	bhagya
destiny	niyati
destitute	akshama
destroy	nashta
destroyed	nashta
destroyer	dhvanika
destroyer	vinashaka
destroys	nashta
destruction	vinasha
destructiveness	prachamdata
deta	deta
detached	vilaga
detail	vivarana
detailed	vistrrita
details	vivarana
detainees	bamdiyom
detaining	nima.da
detection	ditekshana
detective	ditektiva
detective	jasusa
detectives	jasusa
detectors	ditektarom
detects	samipavarti
detention	najarabamdi
detergent	ditarjemta
determinant	saranika
determined	nirdharita
determined	samkalpita
deterministic	deterministic
detoxification	vishaharana
detracts	detracts
detrimental	hanikaraka
detroit	detraॉyata
dett	dett
detvol	deola
deu	deu
deus	deus
deuterium	dyutiriyama
deutsch	deutsch
deutsche	daॉyache
deutschen	deutschen
deutscher	deutscher
deutsches	deutsches
dev	dev
dev	deva
deva	deva
devadasi	devadasi
devadheep	devadhipa
devahuti	devahuti
devaki	devaki
deval	devala
devaluation	avamulyana
devan	devana
devanagari	devanagari
devar	devara
devariya	devariya
devasree	devashri
devastated	tabaha
devastating	vinashakari
devasthanam	humdi
devata	devata
devayush	devayasha
devdas	devadasa
devdasth	devadatta
devdharkar	devadharakara
deve	deve
developed	vikasita
developer	devalapara
developer	vikasakarta
developers	devalapara
developers	devalaparsa
developing	udgama
developing	vikasashila
development	devalapamemta
development	vikasa
devendra	devemdra
devendra	devendra
devgam	devagama
devgan	devagana
devgn	devagana
devi	devi
deviation	vichalana
device	divaisa
device	upakarana
device	yamtra
device	yukti
devices	auzara
devices	divaisa
devices	upakarana
devices	yukti
devika	devika
devil	devil
devil	devila
devil	shaitana
devils	shaitanom
devin	devina
devindarpal	devimdarapala
devinder	devimdara
deviprasad	deviprasada
devise	makkari
devnarayan	devanarayana
devnath	devanatha
devo	devo
devoid	vihina
devolution	divaॉlyushana
devon	devana
devon	devom
devona	devona
devotee	bhakta
devotees	bhakto
devotees	bhaktom
devotion	bhakti
devotion	nishtha
devours	kha
devraj	devaraja
devta	devata
devvrat	devavrata
devyani	devayani
dew	osa
dewa	deva
dewalgaon	devalagamva
dewas	devasa
dewey	divi
dewiki	dewiki
dewon	devaॉna
dex	deksa
dexter	deksatara
dextra	dekstra
dey	de
deyl	dela
deyrsee	dersi
dfb	dfb
dfd	dfd
dfg	dfg
dfl	dfl
dfs	dfs
dft	dft
dge	dge
dgg	dgg
dgh	dgh
dgp	dijipi
dgs	dgs
dha	dha
dha	tha
dhaago	dhagom
dhaaka	dhaka
dhaansindi	dhanasimdi
dhabi	dhabi
dhadial	dhadiyala
dhadwaiwale	dhadavaivale
dhaka	dhaka
dham	dham
dham	dhama
dhamangavn	dhamanagamva
dhameejaa	dhamija
dhamki	dhamaki
dhamma	dhamma
dhampur	dhamapura
dhan	dhan
dhanbad	dhanabada
dhandari	dhanadari
dhandha	dhamdha
dhaneraa	dhanera
dhani	dhani
dhankuta	dhanakuta
dhankya	dhanakya
dhanraj	dhanaraja
dhanshyan	ghanashyama
dhansukh	dhanasukha
dhanusa	dhanusha
dhanushkodi	dhanushakodi
dhanushri	dhanashri
dhanwan	dhanavana
dhar	dhara
dhara	dhara
dharam	dharama
dharamprit	dharamaprita
dharampuri	dharamapuri
dharamsala	dharmashala
dharan	dharana
dharavi	dharavi
dharm	dharama
dharma	dharma
dharma	dharmam
dharmaani	dharamani
dharmabad	dharmabada
dharmanagar	dharmanagara
dharmanand	dharmananda
dharmapuri	dharmapuri
dharmaraja	dharmaraja
dharmasena	dharmasena
dharmasthala	dharmasthala
dharmdas	dharmadasa
dharmdeep	dharamadipa
dharmendra	dharmemdra
dharmendra	dharmendra
dharmendu	dharmemdu
dharmpal	dharmapala
dharmvaram	dharmavarama
dharnowdha	dharanauda
dhartee	dharati
dharti	dharati
dharwad	dharava.da
dharwar	dharavara
dhasir	yasira
dhaulagiri	dhaulagiri
dhaura	dhaura
dhavle	dhavale
dhawan	dhavana
dhb	dhb
dhcp	dhcp
dheeraj	dhiraja
dhekelia	dhekeliya
dhekne	dhekane
dheresa	theresa
dhesire	abhilasha
dhestinction	bheda
dheta	shveta
dhevotee	bhakta
dheyoodhpani	themdayuthapani
dhia	dhiya
dhillon	dhillom
dhimmi	dhimmi
dhingra	dhimgara
dhinoj	dhinoja
dhirendra	dhiremdra
dhirendra	dhirendra
dhirubhai	dhirubhai
dhivehi	dhivehi
dhleshhwari	dhaleshvari
dhm	dhm
dhnkvadha	dhanakava.da
dho	dho
dhobi	dhobi
dhoble	ढ़obale
dhofar	zofara
dhola	dhola
dholak	dholaka
dholakia	dholakiya
dhole	dhola
dholpur	dhaulapura
dhoni	dhoni
dhoodh	dhumda
dhoom	dhuma
dhoorma	dhumra
dhoti	dhoti
dhritarashtra	dhrritarashtra
dhrupad	dhrupada
dhrupad	dhruva
dhruthi	dhrriti
dhruv	dhruv
dhruv	dhruva
dhs	dhs
dht	dht
dhtml	dhtml
dhubri	dhubari
dhugi	ghugi
dhul	dhula
dhulajee	dhulaji
dhule	dhule
dhulghat	dhulaghata
dhulkod	dhulakota
dhumravarn	dhumravarna
dhyan	dhyanachamda
di	di
dia	dia
diabetes	dayabitija
diabetes	madhumeha
diabetic	madhumeha
diabled	disaaibalda
diacici	da{}iasa{}isi
diacritics	diacritics
diaeresis	diaeresis
diagnosis	nidana
diagnostic	nidana
diagnostics	naidanika
diagnostics	nidana
diagonal	tiryaka
diagram	arekha
dial	dayala
dialectics	dialectics
dialectology	dialectology
dialing	dayalimga
dialis	dayalisa
dialog	samvada
dialogs	samvada
dialogue	samvada
dialogues	samvada
dialysis	dayalisisa
diameter	vyasa
diamond	dayamamda
diamond	dayamanda
diamond	hira
diamond	hirom
diamondbacks	daimandabaiksa
diamonds	hire
diamonds	imta
dian	daena
diana	dayana
diane	dayane
diaper	dayapara
diapers	dayapara
diaphragm	diaphragm
diaphragmatic	udariya
diaries	dayariza
diario	diario
diarrhea	atisara
diarrhoea	dasta
diary	dayari
diatomic	diatomic
diaz	diyaza
dib	dib
dibang	dibamga
dibiase	dibiase
dibrugarh	dibruga.dha
dibrugarh	dibrugaढ़
dicaprio	dikaipriyo
dick	dika
dick	lamda
dickens	dikemsa
dicks	diksa
diclofenac	diclofenac
dicom	dicom
dictaphone	diktaphona
dictated	likhavai
dictation	shrutalekhana
dictator	tanashaha
dictator	tanashahi
dictatorship	tanashahi
dictionaries	shabdakosha
dictionary	shabdakosha
dictionnaire	dictionnaire
dictum	kahavata
dictum	ukti
did	kiya
didactic	shikshaprada
didi	didi
didier	didiera
didvaanaa	didavana
diefenbaker	diefenbaker
diego	diego
dielectric	paravaidyuta
diella	diela
dien	dien
dieppe	dieppe
dies	marata
diese	diese
diesel	dijala
diesel	dizala
diet	ahara
dieter	dieter
dieu	dieu
dif	dif
difference	amtara
difference	bhinnata
difference	pharka
differences	bhinnataem
differences	matabheda
different	alaga
different	bhinna
differential	avakala
differentiates	differentiates
difficult	kathina
difficult	mushkila
difficulties	kathinaiyom
difficulty	kathinai
difficulty	pareshani
diffraction	vivartana
diffs	diffs
diffusa	diffusa
diffuse	vyapta
diffusivity	diffusivity
dig	khudai
digambar	digambara
digambara	digambara
digest	daijesta
digested	pachata
digestion	pachana
diggers	banane
digging	khodane
digha	digha
digimon	dijimaॉna
digit	amkiya
digital	dijitala
digitally	dijitali
digiti	digiti
digitorum	digitorum
digits	amka
dignitaries	ganamanya
dignity	garima
dignity	maryada
digru	digaru
digvijay	digvijaya
dijani	dizni
diji	dizi
dika	dika
diksha	diksha
dikshitar	dikshitara
dil	dil
dil	dila
dilan	dilana
dilbar	dilabara
dildar	diladara
dildarangar	diladaranagara
dileina	dilaina
dilemma	duvidha
dili	dili
diligence	parishrama
dilip	dilipa
dill	dila
dillon	dilana
dilo	dilom
dilruba	dilaruba
dilrubaa	dilaruba
dilshad	dilashada
dilshan	dilashana
dilwala	dilavala
dilwale	dilavale
dim	dima
dimapur	dimapura
dimasa	dimasha
dimashq	dimashqa
dimbel	trimbala
dimension	ayama
dimensional	ayami
dimensions	ayama
diminishing	ghatate
dimitar	dimitara
dimming	diptimamdakata
dimorphism	dvirupata
dimple	dimpala
dimples	dimpala
din	da{}ina
din	dina
dina	dina
dinajpur	dinajapura
dinanath	dinanatha
dinar	dinara
dinara	dinara
dinbandhu	dinabamdhu
dindigul	dimdigula
dindori	dindori
dindrala	dimdarala
dine	khane
diner	dinara
dinesh	dinesh
dinesh	dinesha
ding	dimga
dingwahi	dimgavahi
dingy	malina
dining	dainimga
dinner	dinara
dino	dino
dinosaur	dayanasora
dio	dio
diocese	diocese
diode	dayoda
diodes	diodes
diomede	dayomida
dion	dayona
dionne	diyona
diophantine	dayophaimtiya
diorite	dayoraita
dios	dios
dioxide	daiऑksaida
dipankar	dipamkara
diphtheria	dipthiriya
diphthongs	diphthongs
diphu	dipu
diploid	dvigunita
diploma	diploma
diplomacy	kutaniti
diplomat	rajanayika
diplomatic	rajanayika
diplomats	rajanayikom
dipole	dvidhruva
dipped	duba
dippenaar	dippenara
dipper	chammacha
diputación	diputación
direct	dayarekta
direct	direct
direct	pratyaksha
direct	sidha
directed	nirdeshita
direction	disha
directions	dishae.n
directions	dishanirdesha
directions	nirdesha
directly	sidhe
director	nideshaka
director	nirdeshaka
directorate	nideshalaya
directories	nirdeshika
directors	nirdeshakom
directory	nirdeshika
directrix	samchalika
directv	directv
directx	dairektaeksa
dirham	dirahama
dirichlet	dirikhle
dirk	dirka
dirt	darta
dirt	maila
dirty	gamda
dirty	gamde
dirty	ganda
dis	dis
disability	akshamata
disability	vikalamgata
disable	nishkriya
disabled	akshama
disabled	nishkriya
disabled	vikalamga
disadvantaged	suvidhahina
disagree	asahamata
disagreement	asahamati
disagreements	matabhinnata
disallow	asvikara
disallowed	pratibamdhita
disambig	disambig
disambiguated	disambiguated
disambiguation	bahuvikalpi
disambiguator	disambiguator
disappear	gayaba
disappointed	nirasha
disappointing	nirashajanaka
disappointment	nirasha
disapproval	asvikrriti
disapproved	asvikrrita
disarmament	nirastrikarana
disarray	astavyastata
disaster	apada
disaster	vipatti
disasters	apadaom
disastrous	vinashakari
disband	bikharana
disbelief	adharma
disbelieve	kafira
disbelieve	kaphira
disc	diska
discard	cho.dem
discarts	desakartesa
discernment	viveka
discharge	discharja
discharge	nirvahana
discharge	skhalana
discharge	srava
disciple	shishya
disciples	shishyom
disciplinary	anushasanatmaka
discipline	anushasana
disciplined	anushasita
disclaimer	asvikarana
disclose	zahira
disclosure	prakatikarana
disco	disko
discography	diskografi
discomfort	takalipha
disconnect	diskanekta
discontinuous	asatata
discord	anabana
discord	visamgati
discount	chuta
discount	diskaumta
discounted	riyayati
discounts	chuta
discouraged	hatotsahita
discourse	pravachana
discourses	pravachana
discover	discover
discover	khoja
discovered	khoja
discoverer	discoverer
discovery	diskavari
discovery	khoja
discreet	savadhana
discrete	alahada
discrete	bhinna
discrete	diskrita
discretionary	vivekadhina
discrimination	bhedabhava
discrimination	pakshapata
discrimination	vibheda
discussion	charcha
discussion	paricharcha
discussions	charchae.n
disdain	avahelana
disdain	ghrrina
disdain	tiraskara
disease	bimari
disease	roga
disease	vikara
diseases	bimariya.n
diseases	rogom
disequilibrium	la.dakha.da
disestablished	disestablished
disgrace	zillata
disguise	bhesa
disgusted	nirasha
disgusting	ghrrinaspada
disgusting	ghrrinita
dish	disha
dishes	bartana
dishonest	beimana
dishonesty	beimani
disillusionment	mohabhamga
disinfectant	kitanunashaka
disinfection	kitanushodhana
disintegration	vighatana
disinvestment	vinivesha
disk	diska
disks	diska
dislike	napasamda
disloyal	bevapha
dismiss	cho.dem
dismissed	barkhasta
dismissed	kharija
disney	dizni
disneyland	diznilaimda
disorder	vikara
disorders	vikara
disown	virakta
dispaal	dikshapala
disparities	asamanataom
dispatch	preshana
dispatches	dispaichija
dispensary	dispemsari
displaced	visthapita
displacement	visthapana
display	pradarshaka
display	pradarshana
display	pradarshita
displayed	pradarshita
displayport	displayport
displays	pradarshaka
displaytitle	displaytitle
disposable	dispojebala
disposable	sulabha
disposal	nipatana
disproportionate	anupatahina
dispur	disapura
dispute	vivada
disputed	vivadita
disputes	vivada
disputes	vivadom
disqualification	ayogyata
disquiet	baicheni
disregard	udasinata
disregarding	katarate
disrespect	anadara
disrespected	anadara
disrespectful	anuchita
disruptive	vighatanakari
dissatisfied	asamtushta
dissection	vichchedana
disseminated	disseminated
dissension	fasada
dissertation	dissertation
dissidents	asamtushtom
dissociates	dissociates
dissociation	dissociation
dissociative	dissociative
dissolution	vichcheda
dissolution	vighatana
dissolve	bhamga
dissolve	vilina
distance	alahada
distance	duri
distances	duriya.n
distances	duriyam
distant	dura
distillation	asavana
distilled	asuta
distillery	distilari
distinct	prrithaka
distinction	bheda
distinctions	bheda
distinguish	pharka
distinguished	vishishta
